Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
1,00:00:19,Ballinagh,Free conceded,1,Defensive third,Tom Smith,,,-1,,1,0
2,00:01:00,Kingscourt,Scoreable free,1,Wide,Blake Carthy,0.2365108,0.2649511,0,#ed1c24,1,0
3,00:01:26,Ballinagh,Kickout,1,Break lost,Harris Crowley,0.4473921,0.2627124,1,,0,0
4,00:01:46,Kingscourt,Shot from play,1,Point,,0.1776079,0.1873419,1,#ffffff,1,1
5,00:02:02,Ballinagh,Kickout,1,Break lost,,0.4554856,0.4097221,1,,1,0
6,00:02:29,Ballinagh,Scoreable free,1,Wide,Tom Smith,0.7117805,0.4694215,0,#ed1c24,1,0
7,00:03:02,Kingscourt,Attacks,1,Possession lost,,,,0,,1,0
8,00:04:05,Ballinagh,Free conceded,1,Defensive third,,,,-1,,1,0
9,00:04:38,Kingscourt,Scoreable free,1,Point,,0.1861511,0.2604736,1,#ffffff,1,1
10,00:05:03,Ballinagh,Kickout,1,Break won,Ronan Connolly,0.544964,0.07540547,1,,1,0
11,00:06:20,Kingscourt,Shot from play,1,Point,Player 11,0.0323741,0.1798794,1,#ffffff,1,1
12,00:06:34,Ballinagh,Kickout,1,Break lost,Tom Smith,0.3655576,0.5932978,1,,0,0
13,00:06:58,Kingscourt,Shot from play,1,Goal,Matthew Heaslip,0.1178057,0.4059909,3,#70B12A,1,3
14,00:07:11,Ballinagh,Kickout,1,Won clean,David McEvoy,0.4667266,0.6201625,1,,0,0
15,00:07:43,Kingscourt,Shot from play,1,Wide,,0.3336331,0.09779274,0,#ed1c24,1,0
16,00:07:53,Ballinagh,Kickout,1,Break lost,,0.6290467,0.621655,1,,0,0
17,00:09:29,Kingscourt,Shot from play,1,Wide,Player 11,0.2909173,0.2440563,0,#ed1c24,1,0
18,00:09:46,Ballinagh,Kickout,1,Break lost,,0.5044964,0.169432,1,,0,0
