Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
1,00:01:09,Cuchulainns,Shot from play,1,Point,Player 14,0.7778777,0.5313597,1,#ffffff,1,1
2,00:01:27,Ballinagh,Kickout,1,Break lost,,0.596223,0.1462985,1,,0,0
3,00:01:49,Cuchulainns,Shot from play,1,Wide,Player 15,0.8331835,0.7149353,0,#ed1c24,1,0
4,00:02:08,Ballinagh,Kickout,1,Break won,Player 4,0.756295,0.8917948,1,,1,0
5,00:02:41,Ballinagh,Shot from play,1,Point,Player 15,0.2086331,0.7097116,1,#ffffff,1,1
6,00:02:56,Cuchulainns,Kickout,1,Break won,Player 9,0.6052158,0.9253758,1,,1,0
7,00:04:06,Cuchulainns,Shot from play,1,Point,Player 5,0.8066547,0.6604596,1,#ffffff,1,1
8,00:04:14,Ballinagh,Kickout,1,Break lost,,0.5620503,0.1828644,1,,0,0
9,00:04:59,Ballinagh,Kickout,1,Break lost,,0.6596223,0.2074904,1,,0,0
10,00:05:28,Cuchulainns,Shot from play,1,Point,,0.976169,0.3074869,1,#ffffff,1,1
11,00:05:47,Ballinagh,Kickout,1,Lost clean,Player 6,0.601169,0.4791227,1,#ed1c24,0,0
12,00:06:49,Cuchulainns,Shot from play,1,Point,Player 13,0.7846223,0.6209087,1,#ffffff,1,1
13,00:07:02,Ballinagh,Kickout,1,Break lost,,0.6389388,0.7216515,1,,0,0
14,00:07:30,Cuchulainns,Shot from play,1,Point,Player 6,0.9919065,0.7738885,1,#ffffff,1,1
15,00:07:45,Ballinagh,Kickout,1,Break lost,Player 13,0.6061151,0.6552359,1,,0,0
16,00:08:33,Cuchulainns,Shot from play,1,Point,Player 11,0.8403777,0.4380793,1,#ffffff,1,1
17,00:08:53,Ballinagh,Kickout,1,Break lost,,0.6344424,0.5492695,1,,0,0
18,00:09:34,Cuchulainns,Shot from play,1,Point,,0.7958633,0.3410678,1,#ffffff,1,1
19,00:09:51,Ballinagh,Kickout,1,Break won,,0.6973921,0.3656938,1,,1,0
20,00:13:46,Cuchulainns,Shot from play,1,Wide,,0.8048561,0.270921,0,#ed1c24,1,0
21,00:14:03,Ballinagh,Kickout,1,Break lost,,0.6357914,0.06943553,1,,0,0
22,00:14:44,Cuchulainns,Shot from play,1,Point,Player 11,0.7657374,0.5097187,1,#ffffff,1,1
23,00:15:07,Ballinagh,Kickout,1,Lost clean,,0.6402878,0.7276214,1,#ed1c24,0,0
24,00:15:41,Cuchulainns,Shot from play,1,Wide,Player 10,0.8107014,0.2403251,0,#ed1c24,1,0
25,00:15:50,Ballinagh,Kickout,1,Break won,,0.6254497,0.5537469,1,,1,0
26,00:16:55,Ballinagh,Shot from play,1,Wide,Player 5,0.2239209,0.7089654,0,#ed1c24,1,0
27,00:17:10,Cuchulainns,Kickout,1,Lost clean,Player 8,0.6753597,0.4865851,1,#ed1c24,0,0
28,00:18:28,Ballinagh,Shot from play,1,Point,Player 6,0.192446,0.6507584,1,#ffffff,1,1
29,00:18:47,Cuchulainns,Kickout,1,Won clean,,0.4046763,0.2948008,1,,1,0
30,00:19:36,Cuchulainns,Scoreable free,1,Wide,,0.8785971,0.1485372,0,#ed1c24,1,0
31,00:20:02,Ballinagh,Kickout,1,Break won,Player 15,0.4100719,0.6746382,1,,1,0
32,00:23:32,Cuchulainns,Kickout,1,Won clean,Player 10,0.5247302,0.2455488,1,,1,0
33,00:25:00,Ballinagh,Scoreable free,1,Point,Player 14,0.1128597,0.5918053,1,#ffffff,1,1
34,00:25:48,Cuchulainns,Shot from play,1,Point,Player 11,0.7891187,0.4089759,1,#ffffff,1,1
35,00:27:33,Ballinagh,Kickout,1,Won clean,,0.7661871,0.7873209,1,,1,0
36,00:28:45,Ballinagh,Shot from play,1,Wide,Player 14,0.1991906,0.9044809,0,#ed1c24,1,0
37,00:29:03,Cuchulainns,Kickout,1,Won clean,,0.2306655,0.1134638,1,,1,0
38,00:29:46,Cuchulainns,Scoreable free,1,Point,Player 13,0.8408273,0.4918088,1,#ffffff,1,1
39,00:30:16,Ballinagh,Kickout,1,Won clean,,0.7311151,0.1060014,1,,1,0
40,00:31:45,Cuchulainns,Shot from play,1,Wide,Player 15,0.7810252,0.3582314,0,#ed1c24,1,0
41,00:30:44,Ballinagh,Shot from play,2,Wide,,0.6564748,0.2537574,0,#ed1c24,1,0
42,00:31:00,Cuchulainns,Kickout,2,Won clean,,0.7176259,0.5888203,1,,1,0
43,00:32:05,Ballinagh,Shot from play,2,Goal,Player 6,0.8723022,0.3716638,3,#70B12A,1,3
44,00:32:25,Cuchulainns,Kickout,2,Break won,,0.5773381,0.621655,1,,1,0
45,00:32:55,Cuchulainns,Shot from play,2,Short,Player 15,0.1771583,0.7029955,-1,#ed1c24,1,0
46,00:34:45,Cuchulainns,Shot from play,2,Point,Player 10,0.2158273,0.6179238,1,#ffffff,1,1
47,00:35:02,Ballinagh,Kickout,2,Break lost,,0.4379496,0.276891,1,,0,0
48,00:35:37,Cuchulainns,Shot from play,2,Point,,0.02922662,0.6619521,1,#ffffff,1,1
49,00:36:09,Ballinagh,Kickout,2,Break won,,0.3803957,0.05973437,1,,1,0
50,00:36:43,Cuchulainns,Shot from play,2,Goal,,0.09982014,0.3246505,3,#70B12A,1,3
51,00:37:00,Ballinagh,Kickout,2,Break won,,0.3471223,0.1948043,1,,1,0
52,00:38:39,Cuchulainns,Scoreable free,2,Point,Player 13,0.1371403,0.4731528,1,#ffffff,1,1
53,00:39:08,Ballinagh,Kickout,2,Break won,,0.3794964,0.2194303,1,,1,0
54,00:40:22,Ballinagh,Shot from play,2,Point,,0.8448741,0.6746382,1,#ffffff,1,1
55,00:40:51,Cuchulainns,Kickout,2,Won clean,Player 9,0.6515288,0.547777,1,,1,0
56,00:43:17,Ballinagh,Shot from play,2,2 Points,,0.7517986,0.2977858,2,#f7941d,1,2
57,00:44:37,Ballinagh,Shot from play,2,Wide,,0.8529676,0.2358476,0,#ed1c24,1,0
58,00:44:59,Cuchulainns,Kickout,2,Break won,,0.5044964,0.821648,1,,1,0
59,00:46:09,Ballinagh,Scoreable free,2,Wide,,0.8066547,0.2686823,0,#ed1c24,1,0
60,00:46:39,Cuchulainns,Kickout,2,Break lost,,0.5269784,0.3127106,1,,0,0
61,00:47:18,Ballinagh,Shot from play,2,Wide,,0.8453237,0.2537574,0,#ed1c24,1,0
62,00:47:57,Cuchulainns,Kickout,2,Won clean,,0.794964,0.1336124,1,,1,0
63,00:48:56,Cuchulainns,Scoreable free,2,Point,Player 10,0.1996403,0.6597134,1,#ffffff,1,1
64,00:49:15,Ballinagh,Kickout,2,Won clean,,0.386241,0.1403286,1,,1,0
65,00:50:23,Ballinagh,Shot from play,2,2 Points,,0.7311151,0.3500227,2,#f7941d,1,2
66,00:50:49,Cuchulainns,Kickout,2,Break won,,0.5013489,0.2731597,1,,1,0
67,00:51:52,Cuchulainns,Scoreable free,2,Point,Player 13,0.2194245,0.4037522,1,#ffffff,1,1
68,00:52:48,Ballinagh,Kickout,2,Won clean,,0.3165467,0.1142101,1,,1,0
69,00:57:22,Cuchulainns,Kickout,2,Won clean,,0.6888489,0.2328627,1,,1,0
70,00:58:03,Cuchulainns,Shot from play,2,Goal,,0.02473021,0.615685,3,#70B12A,1,3
71,00:58:16,Ballinagh,Kickout,2,Won clean,,0.346223,0.3045019,1,,1,0
72,00:59:26,Ballinagh,Scoreable free,2,Short,Player 14,0.6825539,0.5000175,-1,#ed1c24,1,0
73,01:00:53,Cuchulainns,Shot from play,2,Point,Player 9,0.2531475,0.4052447,1,#ffffff,1,1
74,01:01:03,Ballinagh,Kickout,2,Break won,,0.4231115,0.2731597,1,,1,0
75,01:02:22,Ballinagh,Shot from play,2,Wide,,0.8241906,0.2477875,0,#ed1c24,1,0
76,01:02:50,Ballinagh,Scoreable free,2,Point,,0.7706835,0.2903233,1,#ffffff,1,1
77,01:03:27,Cuchulainns,Kickout,2,Break won,,0.6321942,0.144806,1,,1,0
