Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
1,00:01:15,Gowna,Shot from play,1,Wide,Player 9,0.7504497,0.4544967,0,#ed1c24,1,0
2,00:01:24,Ballinagh,Kickout,1,Break lost,,0.4186151,0.2798759,1,,0,0
3,00:03:12,Gowna,Scoreable free,1,Point,Player 11,0.8669065,0.2425638,1,#ffffff,1,1
4,00:03:33,Ballinagh,Kickout,1,Won clean,Eamon McEvoy,0.4455935,0.3552464,1,,1,0
5,00:04:03,Ballinagh,Shot from play,1,Short,Eamon McEvoy,0.2904676,0.3903198,-1,#ed1c24,1,0
6,00:05:06,Gowna,Shot from play,1,Point,Player 12,0.8992805,0.7903059,1,#ffffff,1,1
7,00:05:31,Ballinagh,Kickout,1,Break won,Ronan Connolly,0.277428,0.3470378,1,,1,0
8,00:06:36,Ballinagh,Shot from play,1,Short,Cormac Timoney,0.1663669,0.2268927,-1,#ed1c24,1,0
9,00:07:37,Gowna,Shot from play,1,Short,,0.7823741,0.3246505,-1,#ed1c24,1,0
10,00:08:20,Ballinagh,Shot from play,1,Point,Paddy O’Brien,0.1946942,0.3104719,1,#ffffff,1,1
11,00:08:45,Gowna,Kickout,1,Lost clean,Cormac Timoney,0.4860612,0.3373366,1,#ed1c24,0,0
12,00:09:24,Ballinagh,Shot from play,1,Point,Kevin Smith,0.2086331,0.3037557,1,#ffffff,1,1
13,00:09:43,Gowna,Kickout,1,Won clean,Player 4,0.1870504,0.9022422,1,,1,0
14,00:10:33,Gowna,Shot from play,1,Point,Player 9,0.761241,0.5089724,1,#ffffff,1,1
15,00:10:44,Ballinagh,Kickout,1,Won clean,,0.4334532,0.6067302,1,,1,0
16,00:11:16,Ballinagh,Scoreable free,1,2 Points,Eamon McEvoy,0.2715827,0.5888203,2,#f7941d,1,2
17,00:12:20,Gowna,Kickout,1,Won clean,,0.2270683,0.1194338,1,,1,0
18,00:12:30,Ballinagh,Shot from play,1,Point,Kevin Smith,0.1830036,0.2500262,1,#ffffff,1,1
19,00:12:48,Gowna,Kickout,1,Won clean,Player 9,0.3570144,0.4418106,1,,1,0
20,00:13:13,Ballinagh,Shot from play,1,Wide,Shane Finnegan,0.118705,0.2015205,0,#ed1c24,1,0
21,00:13:24,Gowna,Kickout,1,Lost clean,,0.3947842,0.1298812,1,#ed1c24,0,0
22,00:13:46,Ballinagh,Shot from play,1,Short,,0.2288669,0.400021,-1,#ed1c24,1,0
23,00:14:52,Ballinagh,Scoreable free,1,Wide,Eamon McEvoy,0.3390288,0.6641908,0,#ed1c24,1,0
24,00:15:18,Gowna,Kickout,1,Won clean,Player 3,0.3763489,0.3112181,1,,1,0
25,00:16:21,Gowna,Scoreable free,1,Point,Player 15,0.8480216,0.7350839,1,#ffffff,1,1
26,00:16:53,Ballinagh,Kickout,1,Break lost,,0.5319245,0.1037627,1,,0,0
27,00:17:30,Gowna,Shot from play,1,Point,Player 13,0.7630396,0.5634481,1,#ffffff,1,1
28,00:17:41,Ballinagh,Kickout,1,Break lost,,0.3601618,0.323158,1,,0,0
29,00:18:26,Gowna,Shot from play,1,Point,Player 9,0.9190648,0.778366,1,#ffffff,1,1
30,00:18:36,Ballinagh,Kickout,1,Break lost,,0.5242805,0.3597239,1,,0,0
31,00:19:29,Gowna,Shot from play,1,2 Points,,0.7580935,0.2753985,2,#f7941d,1,2
32,00:20:04,Ballinagh,Kickout,1,Break lost,,0.5755396,0.504495,1,,0,0
33,00:20:17,Gowna,Shot from play,1,Goal,Player 13,0.9545863,0.3716638,3,#70B12A,1,3
34,00:20:33,Ballinagh,Kickout,1,Break won,Cormac Timoney,0.3898381,0.2865921,1,,1,0
35,00:21:28,Ballinagh,Bookings,1,Yellow,,,,-1,,1,0
36,00:21:38,Ballinagh,Scoreable free,1,Point,Kevin Smith,0.1933453,0.2850996,1,#ffffff,1,1
37,00:22:26,Gowna,Shot from play,1,Wide,Player 13,0.7216727,0.5932978,0,#ed1c24,1,0
38,00:22:34,Ballinagh,Kickout,1,Won clean,,0.6038669,0.8231405,1,,1,0
39,00:23:06,Ballinagh,Shot from play,1,Wide,Kevin Smith,0.1794065,0.7306064,0,#ed1c24,1,0
40,00:23:14,Gowna,Kickout,1,Short won,,0.1883993,0.07764418,1,,1,0
41,00:24:11,Gowna,Shot from play,1,Wide,,0.8098022,0.2873383,0,#ed1c24,1,0
42,00:24:25,Ballinagh,Kickout,1,Won clean,Eamon McEvoy,0.6061151,0.3574852,1,,1,0
43,00:24:52,Ballinagh,Shot from play,1,Point,Ronan Connolly,0.1964928,0.6619521,1,#ffffff,1,1
44,00:25:03,Gowna,Kickout,1,Break won,,0.5840827,0.2015205,1,,1,0
45,00:25:32,Gowna,Shot from play,1,Wide,Player 13,0.7553957,0.575388,0,#ed1c24,1,0
46,00:25:41,Ballinagh,Kickout,1,Lost clean,,0.7153777,0.3992747,1,#ed1c24,0,0
47,00:26:13,Gowna,Shot from play,1,Wide,,0.8471223,0.424647,0,#ed1c24,1,0
48,00:26:21,Ballinagh,Kickout,1,Break won,Eamon McEvoy,0.381295,0.4059909,1,,1,0
49,00:26:47,Gowna,Shot from play,1,Goal,Player 6,0.9195144,0.4283782,3,#70B12A,1,3
50,00:27:19,Ballinagh,Kickout,1,Break won,,0.6191547,0.09107657,1,,1,0
51,00:28:02,Ballinagh,Shot from play,1,Save,,0.03821942,0.369425,0,#ed1c24,1,0
52,00:28:32,Ballinagh,Scoreable free,1,Point,Kevin Smith,0.2144784,0.3007707,1,#ffffff,1,1
53,00:28:59,Gowna,Kickout,1,Break won,Player 9,0.4289568,0.4059909,1,,1,0
54,00:29:34,Gowna,Shot from play,1,Wide,Player 13,0.8552158,0.4776302,0,#ed1c24,1,0
55,00:29:44,Ballinagh,Kickout,1,Won clean,Cormac Timoney,0.4802158,0.4179308,1,,1,0
56,00:30:08,Ballinagh,Shot from play,1,Short,Damien Reilly,0.1605216,0.2261465,-1,#ed1c24,1,0
57,00:30:15,Gowna,Shot from play,2,Wide,,0.1182554,0.1589846,0,#ed1c24,1,0
58,00:30:29,Ballinagh,Kickout,2,Lost clean,,0.5404676,0.2627124,1,#ed1c24,0,0
59,00:30:58,Gowna,Shot from play,2,Short,Player 13,0.2531475,0.2171915,-1,#ed1c24,1,0
60,00:32:00,Ballinagh,Shot from play,2,Short,Paddy O’Brien,0.7504497,0.5030025,-1,#ed1c24,1,0
61,00:32:33,Ballinagh,Scoreable free,2,Wide,Kevin Smith,0.7895683,0.2836072,0,#ed1c24,1,0
62,00:32:51,Gowna,Kickout,2,Won clean,,0.589928,0.3380828,1,,1,0
63,00:33:15,Gowna,Shot from play,2,Point,Player 11,0.1852518,0.2500262,1,#ffffff,1,1
64,00:33:32,Ballinagh,Kickout,2,Break won,Thomas Smith,0.3808453,0.7186666,1,,1,0
65,00:35:04,Gowna,Shot from play,2,Point,Player 5,0.1294964,0.2403251,1,#ffffff,1,1
66,00:35:19,Ballinagh,Kickout,2,Break lost,,0.4811151,0.5440458,1,,0,0
67,00:35:46,Gowna,Shot from play,2,Point,Player 14,0.2257194,0.4127071,1,#ffffff,1,1
68,00:36:01,Ballinagh,Kickout,2,Break lost,,0.4289568,0.61867,1,,0,0
69,00:37:53,Gowna,Shot from play,2,2 Points,Player 11,0.2621403,0.3239042,2,#f7941d,1,2
70,00:38:22,Ballinagh,Kickout,2,Break won,Cormac Timoney,0.5989208,0.49554,1,,1,0
71,00:40:18,Gowna,Shot from play,2,Point,Player 12,0.1960432,0.7007567,1,#ffffff,1,1
72,00:40:31,Ballinagh,Kickout,2,Won clean,Paddy O’Brien,0.556205,0.2545037,1,,1,0
73,00:41:26,Ballinagh,Shot from play,2,Short,Kevin Smith,0.7014388,0.517181,-1,#ed1c24,1,0
74,00:41:57,Gowna,Shot from play,2,Wide,Player 11,0.2634892,0.3052482,0,#ed1c24,1,0
75,00:42:07,Ballinagh,Kickout,2,Break lost,,0.4433453,0.1746557,1,,0,0
76,00:43:02,Gowna,Scoreable free,2,Wide,Player 14,0.3165467,0.2030129,0,#ed1c24,1,0
