Event,Time,Period,Team Name,Name,Outcome,Player
1,00:00:00,1,Ballymchugh,Other,Throw Up Won,Player 6
2,00:00:24,1,Ballymchugh,Shot from play,Wide,Player 15
3,00:00:43,1,Killinkere,Kickout,Won clean,Fintan O’Connell
4,00:01:40,1,Killinkere,Possession lost,Hand pass,Conall Mooney
5,00:02:16,1,Killinkere,Shot from play,Point,Kevin McCabe
6,00:02:59,1,Ballymchugh,Kickout,Lost clean,Fintan O’Connell
7,00:03:16,1,Killinkere,Shot from play,Point,Ciaran Flynn
8,00:03:43,1,Ballymchugh,Kickout,Won clean,Player 9
9,00:06:12,1,Killinkere,Possession lost,Kick pass,Jason McMahon
10,00:07:03,1,Ballymchugh,Shot from play,Short,Player 8
11,00:07:38,1,Killinkere,Shot from play,Point,Kevin McCabe
12,00:08:00,1,Ballymchugh,Kickout,Won clean,Player 9
13,00:08:25,1,Ballymchugh,Shot from play,Wide,Player 11
14,00:08:38,1,Killinkere,Kickout,Won clean,Liam McCabe
15,00:09:00,1,Killinkere,Possession lost,In Contact,Jason McMahon
16,00:09:15,1,Killinkere,Free conceded,Middle third,Conall Mooney
17,00:09:38,1,Ballymchugh,Shot from play,Short,Player 9
18,00:09:59,1,Killinkere,Possession lost,Kick pass,Alex Sweeney
19,00:10:25,1,Ballymchugh,Shot from play,Goal,Player 13
20,00:10:49,1,Killinkere,Kickout,Short lost,Player 15
21,00:11:00,1,Ballymchugh,Shot from play,Point,Player 13
22,00:11:23,1,Killinkere,Kickout,Lost clean,Player 11
23,00:11:42,1,Ballymchugh,Shot from play,Wide,Player 15
24,00:12:04,1,Killinkere,Kickout,Break won,James Farrelly
25,00:13:23,1,Killinkere,Shot from play,Wide,Emmett Fitzsimons
26,00:13:52,1,Ballymchugh,Kickout,Break won,Player 5
27,00:14:50,1,Ballymchugh,Shot from play,Wide,Player 12
28,00:15:09,1,Killinkere,Kickout,Short won,Fintan O’Connell
29,00:15:53,1,Killinkere,Possession lost,Kick pass,Alex Sweeney
30,00:16:33,1,Killinkere,Free conceded,Defensive third,Nathan McQuade
31,00:17:15,1,Ballymchugh,Scoreable free,2 Points,Player 13
32,00:17:29,1,Killinkere,Kickout,Won clean,Kevin McCabe
33,00:18:14,1,Killinkere,Shot from play,Point,Emmett Fitzsimons
34,00:18:34,1,Ballymchugh,Kickout,Won clean,Player 11
35,00:18:58,1,Ballymchugh,Shot from play,Goal,Player 8
36,00:19:27,1,Killinkere,Kickout,Short won,Shane Ryan
37,00:20:11,1,Killinkere,Shot from play,Short,Darren Smith
38,00:20:49,1,Ballymchugh,Shot from play,Short,Player 15
39,00:21:14,1,Killinkere,Possession lost,Hand pass,Conall Mooney
40,00:21:37,1,Killinkere,Shot from play,Wide,Alex Sweeney
41,00:21:55,1,Ballymchugh,Kickout,Won clean,Player 11
42,00:22:04,1,Killinkere,Ball Won,Interception,Fintan O’Connell
43,00:22:16,1,Killinkere,Possession lost,Kick pass,Emmett Fitzsimons
44,00:22:31,1,Ballymchugh,Shot from play,Wide,Player 13
45,00:22:43,1,Killinkere,Kickout,Short won,Shane Ryan
46,00:22:54,1,Killinkere,Possession lost,Hand pass,Shane Ryan
47,00:23:04,1,Ballymchugh,Shot from play,Wide,Player 6
48,00:23:20,1,Killinkere,Kickout,Won clean,Kevin McCabe
49,00:23:56,1,Ballymchugh,Free conceded,Defensive third,Player 7
50,00:24:14,1,Killinkere,Scoreable free,Point,Darren Smith
51,00:24:36,1,Ballymchugh,Kickout,Won clean,Player 8
52,00:25:18,1,Ballymchugh,Shot from play,Wide,Player 8
53,00:25:32,1,Killinkere,Kickout,Break won,James Farrelly
54,00:25:53,1,Killinkere,Shot from play,Wide,Jason McMahon
55,00:26:22,1,Ballymchugh,Kickout,Break lost,Jason McMahon
56,00:26:36,1,Ballymchugh,Free conceded,Defensive third,Player 3
57,00:27:05,1,Killinkere,Scoreable free,Point,Emmett Fitzsimons
58,00:27:29,1,Ballymchugh,Kickout,Lost clean,Alex Sweeney
59,00:27:45,1,Killinkere,Shot from play,Short,Alex Sweeney
60,00:28:37,1,Killinkere,Free conceded,Defensive third,Nathan McQuade
61,00:29:12,1,Ballymchugh,Scoreable free,Point,Player 13
62,00:29:28,1,Killinkere,Kickout,Break lost,Player 14
63,00:29:54,1,Ballymchugh,Shot from play,Point,Player 15
64,00:30:18,1,Killinkere,Kickout,Break lost,Player 11
65,00:30:36,1,Killinkere,Ball Won,In Contact,Shane Ryan
66,00:30:45,1,Ballymchugh,Shot from play,Point,Player 11
67,00:31:14,1,Killinkere,Kickout,Break won,Liam McCabe
