Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
1,00:00:30,Denn,Shot from play,1,Point,Nathan Quigley,0.03821942,0.2231615,1,#ffffff,1,1
2,00:00:41,Munterconnaught,Kickout,1,Won clean,Fintan Devin,0.413669,0.06048062,1,,1,0
3,00:01:18,Munterconnaught,Shot from play,1,45,Eoin O Shea,0.8736511,0.7529937,0,#ed1c24,1,0
4,00:01:44,Munterconnaught,Shot from play,1,45,Sean Hendrick,0.7234712,0.2336089,0,#ed1c24,1,0
5,00:02:37,Munterconnaught,Scoreable free,1,Wide,Charles Baugh,0.6951439,0.498525,0,#ed1c24,1,0
6,00:02:59,Denn,Kickout,1,Break lost,,0.5193346,0.4821076,1,,0,0
7,00:03:36,Munterconnaught,Shot from play,1,45,Enda O Shea,0.9797662,0.6022527,0,#ed1c24,1,0
8,00:04:03,Munterconnaught,Scoreable free,1,Wide,Charles Baugh,0.6910971,0.5530007,0,#ed1c24,1,0
9,00:04:31,Denn,Kickout,1,Sideline ball,,0.597572,0.01645231,0,,0,0
10,00:05:22,Munterconnaught,Shot from play,1,Point,Eoin O Shea,0.7756295,0.3709175,1,#ffffff,1,1
11,00:05:30,Denn,Kickout,1,Short won,Thomas Edward Donohoe,0.7666367,0.7223977,1,,1,0
12,00:06:25,Denn,Shot from play,1,Wide,,0.02113308,0.2694285,0,#ed1c24,1,0
13,00:06:42,Munterconnaught,Kickout,1,Won clean,Eoin O Shea,0.5705935,0.1589846,1,,1,0
14,00:06:59,Munterconnaught,Shot from play,1,Point,Eoin O Shea,0.7976618,0.2783835,1,#ffffff,1,1
15,00:07:06,Denn,Kickout,1,Break lost,,0.5310252,0.218684,1,,0,0
16,00:08:50,Denn,Shot from play,1,45,Oisin Smith,0.1470324,0.5186735,0,#ed1c24,1,0
17,00:09:19,Denn,Scoreable free,1,Wide,Mark Fegan,0.3151978,0.4418106,0,#ed1c24,1,0
18,00:09:49,Munterconnaught,Kickout,1,Break won,Danny Nolan,0.346223,0.123165,1,,1,0
19,00:10:45,Munterconnaught,Shot from play,1,Short,Fintan Devin,0.9109712,0.6783695,-1,#ed1c24,1,0
20,00:11:04,Munterconnaught,Scoreable free,1,2 Points,Enda O Shea,0.7670863,0.7440388,2,#f7941d,1,2
