Event,Time,Period,Team Name,Name,Outcome,Player
1,00:00:14,1,Cuchulainns,Shot from play,Point,Player 12
2,00:00:45,1,Denn,Kickout,Break won,Sean Donohue
3,00:02:53,1,Denn,Kickout,Short won,Oisin Smith
4,00:03:22,1,Denn,Shot from play,2 Points,Sean Donohue
5,00:03:40,1,Cuchulainns,Kickout,Won clean,Player 15
6,00:04:13,1,Cuchulainns,Shot from play,Point,Player 14
7,00:04:24,1,Denn,Kickout,Short won,Cavell Keoghan
8,00:04:54,1,Denn,Shot from play,Point,Ben Conaty
9,00:05:11,1,Cuchulainns,Kickout,Short won,Caolain McCabe
10,00:05:59,1,Cuchulainns,Shot from play,Point,Player 11
11,00:06:34,1,Denn,Kickout,Break won,Oisin Smith
12,00:06:50,1,Denn,Shot from play,Point,Oisin Smith
13,00:08:43,1,Cuchulainns,Kickout,Won clean,Player 9
14,00:09:25,1,Cuchulainns,Shot from play,Wide,Player 13
15,00:09:54,1,Denn,Kickout,Short won,
16,00:11:17,1,Denn,Shot from play,Wide,Oisin Reilly
17,00:11:40,1,Cuchulainns,Kickout,Won clean,Player 15
18,00:12:31,1,Cuchulainns,Scoreable free,Point,Player 11
19,00:12:55,1,Denn,Kickout,Won clean,Sean Donohue
20,00:13:44,1,Cuchulainns,Scoreable free,Point,Player 11
21,00:14:15,1,Denn,Kickout,Lost clean,Oisin Smith
22,00:14:44,1,Cuchulainns,Shot from play,Point,
23,00:15:04,1,Denn,Kickout,Short won,Michael Gaffney
24,00:15:43,1,Denn,Shot from play,Wide,
25,00:16:07,1,Cuchulainns,Kickout,Break lost,Player 5
26,00:16:18,1,Denn,Shot from play,Wide,Oisin Smith
27,00:16:49,1,Cuchulainns,Kickout,Break lost,Player 6
28,00:17:23,1,Denn,Scoreable free,2 Points,Cavell Keoghan
29,00:17:53,1,Cuchulainns,Kickout,Break lost,Player 20
30,00:18:14,1,Cuchulainns,Shot from play,Wide,Player 10
31,00:18:35,1,Denn,Kickout,Short won,Caolain McCabe
32,00:20:23,1,Denn,Scoreable free,Wide,Thomas Edward Donohue
33,00:20:41,1,Cuchulainns,Kickout,Break lost,Player 13
34,00:21:50,1,Denn,Shot from play,Wide,Ben Conaty
35,00:22:11,1,Cuchulainns,Kickout,Break lost,Player 12
36,00:22:49,1,Cuchulainns,Shot from play,Point,Player 12
37,00:23:21,1,Denn,Kickout,Break lost,Oisin Kiernan
38,00:24:22,1,Cuchulainns,Scoreable free,2 Points,Player 11
39,00:24:45,1,Denn,Kickout,Short won,Caolain McCabe
40,00:27:12,1,Cuchulainns,Shot from play,Point,Player 3
41,00:27:47,1,Denn,Kickout,Won clean,Ben Conaty
42,00:29:15,1,Denn,Scoreable free,2 Points,Cavell Keoghan
