Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
1,00:00:21,Killinkere,Free conceded,1,Attacking third,Tom Cooney,,,0,,1,0
2,00:00:27,Killinkere,Attacks,1,Possession lost,Tom Cooney,,,0,,1,0
3,00:00:35,Cuchulainns,Shot from play,1,Point,Player 10,0.8320122,0.7191762,1,#ffffff,1,1
4,00:00:41,Cuchulainns,Attacks,1,Shot taken,Player 10,,,0,,1,0
5,00:00:51,Killinkere,Kickout,1,Break lost,Player 9,0.5553353,0.5764873,1,,0,0
6,00:01:06,Cuchulainns,Shot from play,1,Point,Player 7,0.9006097,0.6569396,1,#ffffff,1,1
7,00:01:11,Cuchulainns,Attacks,1,Shot taken,Player 7,,,0,,1,0
8,00:01:49,Killinkere,Kickout,1,Break lost,Player 7,0.4144817,0.6675653,1,,0,0
9,00:02:24,Cuchulainns,Shot from play,1,Point,Player 7,0.7597561,0.4793375,1,#ffffff,1,1
10,00:02:28,Cuchulainns,Attacks,1,Shot taken,Player 7,,,0,,1,0
11,00:02:48,Killinkere,Kickout,1,Lost clean,Player 7,0.566311,0.7153813,1,#ed1c24,0,0
12,00:03:03,Cuchulainns,Shot from play,1,Goal,Player 9,0.9051829,0.4429063,3,#70B12A,1,3
13,00:03:07,Cuchulainns,Attacks,1,Shot taken,Player 9,,,0,,1,0
14,00:03:25,Killinkere,Kickout,1,Lost clean,Player 7,0.4222561,0.6546626,1,#ed1c24,0,0
15,00:03:48,Cuchulainns,Shot from play,1,Wide,Player 11,0.7542683,0.4072341,0,#ed1c24,1,0
16,00:04:00,Cuchulainns,Attacks,1,Shot taken,Player 11,,,0,,1,0
17,00:04:15,Killinkere,Kickout,1,Lost clean,,0.4533537,0.3419615,1,#ed1c24,0,0
18,00:04:45,Cuchulainns,Free conceded,1,Defensive third,Player 3,,,-1,,1,0
19,00:05:15,Killinkere,Scoreable free,1,Point,Neill McCabe,0.1501524,0.3616951,1,#ffffff,1,1
20,00:05:34,Cuchulainns,Kickout,1,Break won,Player 12,0.4039634,0.4800965,1,,1,0
21,00:05:50,Cuchulainns,Free conceded,1,Middle third,Player 15,,,0,,1,0
22,00:05:57,Cuchulainns,Shot from play,1,Point,,0.8585366,0.3116022,1,#ffffff,1,1
23,00:06:15,Cuchulainns,Attacks,1,Shot taken,,,,0,,1,0
24,00:06:27,Killinkere,Kickout,1,Lost clean,Player 11,0.6028963,0.4451832,1,#ed1c24,0,0
25,00:06:37,Cuchulainns,Shot from play,1,Short,Player 10,0.9042683,0.6576985,-1,#ed1c24,1,0
26,00:06:42,Cuchulainns,Attacks,1,Shot taken,Player 10,,,0,,1,0
27,00:07:08,Killinkere,Possession lost,1,Kick pass,Keiran Smith,,,-1,,1,0
28,00:07:15,Killinkere,Free conceded,1,Attacking third,Ben Philingham,,,0,,1,0
29,00:07:27,Killinkere,Attacks,1,Possession lost,Keiran Smith,,,0,,1,0
30,00:07:39,Killinkere,Turnover,1,In Contact,Harry Banville,,,3,,1,0
31,00:07:58,Killinkere,Possession lost,1,Kick pass,Philip Corrigan,,,-1,,1,0
32,00:08:04,Killinkere,Attacks,1,Possession lost,Philip Corrigan,,,0,,1,0
33,00:08:38,Cuchulainns,Shot from play,1,Wide,Player 12,0.782622,0.6850219,0,#ed1c24,1,0
34,00:08:45,Cuchulainns,Attacks,1,Shot taken,Player 12,,,0,,1,0
35,00:09:01,Killinkere,Kickout,1,Won clean,Ben Philingham,0.5338415,0.4254497,1,,1,0
36,00:09:18,Killinkere,Shot from play,1,Point,Neill McCabe,0.1844512,0.3541052,1,#ffffff,1,1
37,00:09:24,Killinkere,Attacks,1,Shot taken,Neill McCabe,,,0,,1,0
38,00:09:48,Cuchulainns,Kickout,1,Won clean,Player 11,0.3984756,0.07328141,1,,1,0
39,00:10:15,Cuchulainns,Free conceded,1,Attacking third,Player 12,,,0,,1,0
40,00:10:46,Cuchulainns,Free conceded,1,Defensive third,Player 3,,,-1,,1,0
41,00:11:23,Killinkere,Scoreable free,1,Point,Neill McCabe,0.1990854,0.7389098,1,#ffffff,1,1
42,00:11:26,Killinkere,Attacks,1,Shot taken,Neill McCabe,,,0,,1,0
43,00:11:49,Cuchulainns,Kickout,1,Break won,Player 8,0.4373476,0.6205084,1,,1,0
44,00:12:09,Killinkere,Turnover,1,In Contact,Harry Banville,,,3,,1,0
45,00:12:27,Cuchulainns,Shot from play,1,Wide,Player 15,0.7565549,0.5954619,0,#ed1c24,1,0
46,00:12:31,Cuchulainns,Attacks,1,Shot taken,Player 15,,,0,,1,0
47,00:12:39,Killinkere,Kickout,1,Won clean,Ruairi O Connell,0.4419207,0.8929834,1,,1,0
48,00:13:02,Killinkere,Shot from play,1,Wide,Ben Philingham,0.2256097,0.680468,0,#ed1c24,1,0
49,00:13:06,Killinkere,Attacks,1,Shot taken,Ben Philingham,,,0,,1,0
50,00:13:32,Killinkere,Free conceded,1,Middle third,Philip Corrigan,,,0,,1,0
51,00:13:53,Cuchulainns,Shot from play,1,Short,Player 15,0.8082317,0.6584575,-1,#ed1c24,1,0
52,00:13:57,Cuchulainns,Attacks,1,Shot taken,Player 15,,,0,,1,0
53,00:14:10,Killinkere,Possession lost,1,In Contact,Phelim Cusack,,,-1,,1,0
54,00:14:40,Cuchulainns,Shot from play,1,Wide,Player 11,0.8141769,0.6941298,0,#ed1c24,1,0
55,00:14:45,Cuchulainns,Attacks,1,Shot taken,Player 11,,,0,,1,0
56,00:15:01,Killinkere,Kickout,1,Lost clean,Player 8,0.5439025,0.7791359,1,#ed1c24,0,0
57,00:15:11,Killinkere,Turnover,1,In Contact,Sean Brady,,,3,,1,0
58,00:15:51,Killinkere,Possession lost,1,Handling,Harry Banville,,,-1,,1,0
59,00:15:56,Killinkere,Attacks,1,Possession lost,Harry Banville,,,0,,1,0
60,00:16:20,Cuchulainns,Shot from play,1,Point,Player 12,0.8096036,0.6683243,1,#ffffff,1,1
61,00:16:23,Cuchulainns,Attacks,1,Shot taken,Player 12,,,0,,1,0
62,00:16:51,Killinkere,Kickout,1,Lost clean,Player 8,0.4657012,0.4785785,1,#ed1c24,0,0
63,00:17:01,Killinkere,Turnover,1,Interception,Cian Fitzsimons,,,2,,1,0
64,00:17:17,Killinkere,Possession lost,1,In Contact,Phelim Cusack,,,-1,,1,0
65,00:17:27,Cuchulainns,Free conceded,1,Defensive third,Player 6,,,-1,,1,0
66,00:17:50,Killinkere,Shot from play,1,Short,Neill McCabe,0.3047256,0.4747836,-1,#ed1c24,1,0
67,00:17:56,Killinkere,Attacks,1,Shot taken,Neill McCabe,,,0,,1,0
68,00:18:37,Killinkere,Turnover,1,In Contact,Harry Banville,,,3,,1,0
69,00:18:40,Cuchulainns,Attacks,1,Possession lost,Player 5,,,0,,1,0
70,00:18:50,Killinkere,Possession lost,1,Kick pass,Neill McCabe,,,-1,,1,0
71,00:19:03,Cuchulainns,Shot from play,1,Wide,,0.8214939,0.2508835,0,#ed1c24,1,0
72,00:19:08,Cuchulainns,Attacks,1,Shot taken,,,,0,,1,0
73,00:19:17,Killinkere,Kickout,1,Lost clean,Player 4,0.5855183,0.4732656,1,#ed1c24,0,0
74,00:19:26,Cuchulainns,Shot from play,1,Wide,Player 14,0.8800305,0.7343559,0,#ed1c24,1,0
75,00:19:31,Cuchulainns,Attacks,1,Shot taken,Player 14,,,0,,1,0
76,00:19:47,Killinkere,Kickout,1,Lost clean,Player 8,0.5466464,0.3958493,1,#ed1c24,0,0
77,00:19:59,Cuchulainns,Shot from play,1,Wide,Player 11,0.8192073,0.6053287,0,#ed1c24,1,0
78,00:20:04,Cuchulainns,Attacks,1,Shot taken,Player 11,,,0,,1,0
79,00:20:20,Killinkere,Kickout,1,Won clean,Phelim Cusack,0.6015244,0.9278966,1,,1,0
80,00:20:45,Cuchulainns,Free conceded,1,Defensive third,,,,-1,,1,0
81,00:21:15,Killinkere,Scoreable free,1,Point,Neill McCabe,0.1560976,0.8474444,1,#ffffff,1,1
82,00:21:25,Killinkere,Attacks,1,Shot taken,Neill McCabe,,,0,,1,0
83,00:22:00,Cuchulainns,Kickout,1,Break lost,Tom Cooney,0.4364329,0.4816144,1,,0,0
