Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
1,00:00:15,Killinkere,Shot from play,1,Point,Ryan Smith,0.2045732,0.4512551,1,#ffffff,1,1
2,00:00:19,Killinkere,Attacks,1,Shot taken,Ryan Smith,,,0,,1,0
3,00:00:35,Redhills,Kickout,1,Short won,Player 2,0.2091463,0.1636004,1,,1,0
4,00:01:26,Killinkere,Free conceded,1,Defensive third,Nathan McQuade,,,-1,,1,0
5,00:02:12,Redhills,Scoreable free,1,Point,Player 11,0.7995427,0.2486065,1,#ffffff,1,1
6,00:02:18,Redhills,Attacks,1,Shot taken,Player 11,,,0,,1,0
7,00:02:24,Killinkere,Kickout,1,Won clean,James Farrelly,0.6257622,0.8269518,1,,1,0
8,00:02:48,Killinkere,Shot from play,1,Wide,Darren Smith,0.1935976,0.6964067,0,#ed1c24,1,0
9,00:02:52,Killinkere,Attacks,1,Shot taken,Darren Smith,,,0,,1,0
10,00:02:58,Redhills,Kickout,1,Lost clean,Alex Sweeney,0.4757622,0.6759142,1,#ed1c24,0,0
11,00:03:18,Killinkere,Shot from play,1,Point,Kevin McCabe,0.2219512,0.3518283,1,#ffffff,1,1
12,00:03:22,Killinkere,Attacks,1,Shot taken,Kevin McCabe,,,0,,1,0
13,00:03:27,Redhills,Kickout,1,Short won,Player 2,0.1835366,0.07479938,1,,1,0
14,00:03:45,Redhills,Possession lost,1,Sideline,Player 7,,,-1,,1,0
15,00:04:39,Killinkere,Possession lost,1,Hand pass,Ciaran Flynn,,,-1,,1,0
16,00:04:42,Killinkere,Attacks,1,Possession lost,Ciaran Flynn,,,0,,1,0
17,00:05:00,Redhills,Shot from play,1,Point,Player 15,0.7501525,0.4512551,1,#ffffff,1,1
18,00:05:05,Redhills,Attacks,1,Shot taken,Player 15,,,0,,1,0
19,00:05:13,Killinkere,Kickout,1,Break lost,,0.4181402,0.07555836,1,,0,0
20,00:05:33,Killinkere,Free conceded,1,Defensive third,Nathan McQuade,,,-1,,1,0
21,00:06:25,Redhills,Scoreable free,1,2 Points,Player 11,0.7560976,0.2501245,2,#f7941d,1,2
22,00:06:30,Redhills,Attacks,1,Shot taken,Player 11,,,0,,1,0
23,00:06:49,Killinkere,Kickout,1,Short won,Shane Ryan,0.7949695,0.9225837,1,,1,0
24,00:07:13,Killinkere,Shot from play,1,Wide,Alex Sweeney,0.2237805,0.4846503,0,#ed1c24,1,0
25,00:07:20,Killinkere,Attacks,1,Shot taken,Alex Sweeney,,,0,,1,0
26,00:07:31,Redhills,Kickout,1,Break lost,Alex Sweeney,0.4565549,0.5757284,1,,0,0
27,00:07:44,Killinkere,Shot from play,1,Short,Fiachra Mooney,0.2278963,0.6668063,-1,#ed1c24,1,0
28,00:07:48,Killinkere,Attacks,1,Shot taken,Fiachra Mooney,,,0,,1,0
29,00:08:13,Redhills,Shot from play,1,45,Player 14,0.8960366,0.4140649,0,#ed1c24,1,0
30,00:09:13,Redhills,Scoreable free,1,Short,Player 11,0.7021341,0.6637704,-1,#ed1c24,1,0
31,00:09:21,Redhills,Shot from play,1,Wide,Player 11,0.7990854,0.3503103,0,#ed1c24,1,0
32,00:09:27,Redhills,Attacks,1,Shot taken,Player 11,,,0,,1,0
33,00:09:29,Redhills,Attacks,1,Mark taken,Player 11,,,1,,1,0
34,00:09:33,Killinkere,Kickout,1,Short won,Shane Ryan,0.7551829,0.8967783,1,,1,0
35,00:10:16,Killinkere,Shot from play,1,Wide,Neill McCabe,0.2397866,0.3867415,0,#ed1c24,1,0
36,00:10:22,Killinkere,Attacks,1,Shot taken,Neill McCabe,,,0,,1,0
37,00:10:37,Redhills,Kickout,1,Break lost,Luke Crossan,0.4876525,0.5347432,1,,0,0
38,00:11:39,Killinkere,Possession lost,1,In Contact,Ciaran Flynn,,,-1,,1,0
39,00:11:43,Redhills,Kickout,1,Lost clean,Gearoid Traynor,0.5599085,0.2478476,1,#ed1c24,0,0
40,00:12:50,Killinkere,Shot from play,1,Wide,Luke Crossan,0.246189,0.5423331,0,#ed1c24,1,0
41,00:12:55,Killinkere,Attacks,1,Shot taken,Luke Crossan,,,0,,1,0
42,00:13:10,Redhills,Kickout,1,Short won,Player 6,0.3463415,0.4869273,1,,1,0
43,00:14:19,Killinkere,Turnover,1,In Contact,Ryan Smith,,,3,,1,0
44,00:14:29,Killinkere,Shot from play,1,Wide,Neill McCabe,0.1986281,0.3093252,0,#ed1c24,1,0
45,00:14:33,Killinkere,Attacks,1,Shot taken,Neill McCabe,,,0,,1,0
46,00:14:49,Redhills,Kickout,1,Short won,Player 3,0.3298781,0.3677669,1,,1,0
47,00:15:31,Killinkere,Turnover,1,In Contact,Liam McCabe,,,3,,1,0
48,00:15:44,Killinkere,Free conceded,1,Defensive third,Shane Ryan,,,-1,,1,0
49,00:16:31,Redhills,Scoreable free,1,Wide,Player 11,0.7003049,0.3146381,0,#ed1c24,1,0
50,00:16:37,Redhills,Attacks,1,Mark taken,Player 11,,,1,,1,0
51,00:16:43,Killinkere,Kickout,1,Break won,Alex Sweeney,0.5818598,0.7760999,1,,1,0
52,00:17:04,Killinkere,Shot from play,1,Short,Darren Smith,0.1981707,0.7085504,-1,#ed1c24,1,0
53,00:17:08,Killinkere,Attacks,1,Shot taken,Darren Smith,,,0,,1,0
54,00:17:33,Redhills,Shot from play,1,Wide,,0.7478659,0.1544926,0,#ed1c24,1,0
55,00:17:42,Killinkere,Kickout,1,Short won,Darren Smith,0.7510671,0.8831166,1,,1,0
56,00:18:20,Killinkere,Shot from play,1,Point,Ciaran Flynn,0.2608232,0.4831324,1,#ffffff,1,1
57,00:18:23,Killinkere,Attacks,1,Shot taken,Ciaran Flynn,,,0,,1,0
58,00:18:32,Redhills,Kickout,1,Break won,Player 10,0.5887195,0.5036249,1,,1,0
59,00:18:55,Redhills,Shot from play,1,45,Player 14,0.89375,0.6607345,0,#ed1c24,1,0
60,00:19:10,Redhills,Scoreable free,1,Point,Player 1,0.6911585,0.5294304,1,#ffffff,1,1
61,00:19:40,Redhills,Attacks,1,Shot taken,Player 1,,,0,,1,0
62,00:19:51,Killinkere,Kickout,1,Short won,Shane Ryan,0.7858232,0.8975372,1,,1,0
63,00:20:15,Redhills,Free conceded,1,Middle third,Player 13,,,0,,1,0
64,00:21:03,Killinkere,Shot from play,1,Point,Neill McCabe,0.1035061,0.6736372,1,#ffffff,1,1
65,00:21:06,Killinkere,Attacks,1,Shot taken,Neill McCabe,,,0,,1,0
66,00:21:16,Redhills,Kickout,1,Break won,Player 12,0.6092988,0.4451832,1,,1,0
67,00:21:31,Redhills,Shot from play,1,Point,Player 10,0.7611281,0.4778195,1,#ffffff,1,1
68,00:21:35,Redhills,Attacks,1,Shot taken,Player 10,,,0,,1,0
69,00:21:45,Killinkere,Kickout,1,Won clean,Alex Sweeney,0.5548781,0.6781911,1,,1,0
70,00:22:10,Killinkere,Shot from play,1,2 Points,Darren Smith,0.302439,0.4740246,2,#f7941d,1,2
71,00:22:15,Killinkere,Attacks,1,Shot taken,Darren Smith,,,0,,1,0
72,00:22:27,Redhills,Kickout,1,Break won,Player 11,0.5717988,0.4641578,1,,1,0
73,00:23:14,Redhills,Shot from play,1,2 Points,Player 15,0.7419207,0.1658774,2,#f7941d,1,2
74,00:23:20,Redhills,Attacks,1,Shot taken,Player 15,,,0,,1,0
75,00:23:25,Killinkere,Kickout,1,Short won,Liam McCabe,0.7757622,0.8793216,1,,1,0
76,00:24:14,Killinkere,Possession lost,1,Handling,James Farrelly,,,-1,,1,0
77,00:24:20,Killinkere,Attacks,1,Possession lost,James Farrelly,,,0,,1,0
78,00:24:50,Killinkere,Turnover,1,In Contact,Nathan McQuade,,,3,,1,0
79,00:25:11,Killinkere,Possession lost,1,Kick pass,Liam McCabe,,,-1,,1,0
80,00:26:24,Redhills,Shot from play,1,Short,Player 12,0.7743902,0.7814128,-1,#ed1c24,1,0
81,00:26:39,Redhills,Attacks,1,Shot taken,Player 12,,,0,,1,0
82,00:27:32,Killinkere,Shot from play,1,Wide,Luke Crossan,0.2178354,0.317674,0,#ed1c24,1,0
83,00:27:36,Killinkere,Attacks,1,Shot taken,Luke Crossan,,,0,,1,0
84,00:27:57,Redhills,Kickout,1,Break won,Player 6,0.4510671,0.3950903,1,,1,0
85,00:28:23,Killinkere,Turnover,1,In Contact,Nathan McQuade,,,3,,1,0
86,00:28:26,Redhills,Attacks,1,Possession lost,Player 15,,,0,,1,0
87,00:28:48,Killinkere,Shot from play,1,Wide,Fiachra Mooney,0.1986281,0.7047555,0,#ed1c24,1,0
88,00:28:54,Killinkere,Attacks,1,Shot taken,Fiachra Mooney,,,0,,1,0
89,00:29:06,Redhills,Kickout,1,Break won,Player 7,0.3943598,0.45505,1,,1,0
90,00:29:24,Redhills,Shot from play,1,Point,Player 7,0.7469512,0.5666205,1,#ffffff,1,1
91,00:29:30,Redhills,Attacks,1,Shot taken,Player 7,,,0,,1,0
92,00:29:37,Killinkere,Kickout,1,Short won,Shane Ryan,0.7780488,0.8717318,1,,1,0
93,00:30:02,Killinkere,Possession lost,1,Hand pass,Shane Ryan,,,-1,,1,0
94,00:30:06,Killinkere,Attacks,1,Possession lost,Shane Ryan,,,0,,1,0
95,00:30:13,Killinkere,Free conceded,1,Attacking third,Darren Smith,,,0,,1,0
96,00:30:13,Killinkere,Free conceded,2,Attacking third,Fiachra Mooney,,,0,,1,0
97,00:30:51,Killinkere,Turnover,2,In Contact,Alex Sweeney,,,3,,1,0
98,00:31:21,Killinkere,Shot from play,2,Point,Alex Sweeney,0.7689024,0.5605487,1,#ffffff,1,1
99,00:31:24,Killinkere,Attacks,2,Shot taken,Alex Sweeney,,,0,,1,0
100,00:31:43,Redhills,Kickout,2,Lost clean,Benny McConnell,0.6065549,0.1537336,1,#ed1c24,0,0
101,00:32:00,Killinkere,Shot from play,2,45,Ryan Smith,0.8631098,0.363213,0,#ed1c24,1,0
102,00:32:08,Killinkere,Attacks,2,Shot taken,Ryan Smith,,,0,,1,0
103,00:32:32,Killinkere,Shot from play,2,Wide,Alex Sweeney,0.7414634,0.2630273,0,#ed1c24,1,0
104,00:32:37,Killinkere,Attacks,2,Shot taken,Alex Sweeney,,,0,,1,0
105,00:32:58,Redhills,Kickout,2,Break lost,Alex Sweeney,0.3971037,0.8011464,1,,0,0
106,00:33:50,Killinkere,Possession lost,2,In Contact,Ciaran Flynn,,,-1,,1,0
107,00:34:33,Killinkere,Turnover,2,In Contact,Gearoid Traynor,,,3,,1,0
108,00:34:54,Killinkere,Shot from play,2,Point,Ciaran Flynn,0.8932927,0.3222279,1,#ffffff,1,1
109,00:34:57,Killinkere,Attacks,2,Shot taken,Ciaran Flynn,,,0,,1,0
110,00:35:15,Redhills,Kickout,2,Short won,Player 3,0.7003049,0.3783927,1,,1,0
111,00:35:51,Killinkere,Turnover,2,Interception,Benny McConnell,,,2,,1,0
112,00:35:54,Redhills,Attacks,2,Possession lost,Player 15,,,0,,1,0
113,00:36:17,Killinkere,Shot from play,2,Point,Kevin McCabe,0.876372,0.6759142,1,#ffffff,1,1
114,00:36:22,Killinkere,Attacks,2,Shot taken,Kevin McCabe,,,0,,1,0
115,00:36:44,Redhills,Bookings,2,Yellow,Player 8,,,-1,,1,0
