Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
1,00:00:04,Killinkere,Other,1,Throw Up Won,James Farrelly,,,0,,1,0
2,00:01:02,Killinkere,Shot from play,1,Point,Alex Sweeney,0.2017558,0.3482731,1,#ffffff,1,1
3,00:01:03,Killinkere,Attacks,1,Shot taken,Alex Sweeney,,,0,,1,0
4,00:01:03,Killinkere,Score source,1,Throw Up/In,Alex Sweeney,,,0,,1,0
5,00:01:25,Ballinagh,Kickout,1,Won clean,Player 10,0.530477,0.7905862,1,,1,0
6,00:01:34,Ballinagh,Shot from play,1,Wide,Player 9,0.7471538,0.5281985,0,#ed1c24,1,0
7,00:01:35,Ballinagh,Attacks,1,Shot taken,Player 9,,,0,,1,0
8,00:01:57,Killinkere,Kickout,1,Break lost,Player 7,0.509095,0.4520692,1,,0,0
9,00:02:15,Ballinagh,Shot from play,1,Wide,Player 8,0.7169611,0.5111682,0,#ed1c24,1,0
10,00:02:16,Ballinagh,Attacks,1,Shot taken,Player 8,,,0,,1,0
11,00:02:38,Killinkere,Kickout,1,Won clean,Cian McGovern,0.6375294,0.8998839,1,,1,0
12,00:02:49,Ballinagh,Free conceded,1,Middle third,Player 6,,,0,,1,0
13,00:03:26,Killinkere,Shot from play,1,Wide,Fiachra Mooney,0.1371228,0.4095116,0,#ed1c24,1,0
14,00:03:27,Killinkere,Attacks,1,Shot taken,Fiachra Mooney,,,0,,1,0
15,00:03:48,Ballinagh,Kickout,1,Sideline ball,Liam McCabe,0.562245,0.01781282,0,,0,0
16,00:03:52,Killinkere,Possession lost,1,Sideline,,,,-1,,1,0
17,00:04:27,Ballinagh,Shot from play,1,Point,Player 8,0.8507227,0.2847362,1,#ffffff,1,1
18,00:04:28,Ballinagh,Attacks,1,Shot taken,Player 8,,,0,,1,0
19,00:04:29,Ballinagh,Score source,1,Kickout,,,,0,,1,0
20,00:04:42,Killinkere,Kickout,1,Short won,Shane Ryan,0.8063721,0.8289137,1,,1,0
