Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
1,00:00:16,Killinkere,Free conceded,1,Middle third,Ciaran Flynn,,,0,,1,0
2,00:00:30,Drumgoon,Shot from play,1,Point,Player 7,0.8530488,0.7449816,1,#ffffff,1,1
3,00:00:34,Drumgoon,Attacks,1,Shot taken,Player 7,,,0,,1,0
4,00:00:44,Killinkere,Kickout,1,Short won,Harry Banville,0.8178354,0.06417362,1,,1,0
5,00:01:22,Killinkere,Free conceded,1,Middle third,,,,0,,1,0
6,00:01:43,Drumgoon,Scoreable free,1,Point,Player 14,0.8914634,0.4747836,1,#ffffff,1,1
7,00:01:46,Drumgoon,Attacks,1,Mark taken,Player 14,,,1,,1,0
8,00:01:58,Killinkere,Kickout,1,Sideline ball,Player 6,0.6417683,0.008767838,0,,0,0
9,00:02:55,Drumgoon,Shot from play,1,Point,Player 13,0.8118902,0.274412,1,#ffffff,1,1
10,00:03:01,Drumgoon,Attacks,1,Shot taken,Player 13,,,0,,1,0
11,00:03:12,Killinkere,Kickout,1,Break lost,Player 7,0.6239329,0.4778195,1,,0,0
12,00:03:40,Killinkere,Kickout,1,Break won,Liam McCabe,0.6682927,0.272135,1,,1,0
13,00:04:02,Drumgoon,Free conceded,1,Middle third,Player 11,,,0,,1,0
14,00:04:13,Killinkere,Possession lost,1,Kick pass,Alex Sweeney,,,-1,,1,0
15,00:04:30,Drumgoon,Free conceded,1,Middle third,,,,0,,1,0
16,00:06:25,Drumgoon,Free conceded,1,Attacking third,Player 9,,,0,,1,0
17,00:06:51,Killinkere,Scoreable free,1,Short,Neill McCabe,0.2535061,0.5134917,-1,#ed1c24,1,0
18,00:07:01,Killinkere,Attacks,1,Shot taken,Neill McCabe,,,0,,1,0
19,00:07:07,Killinkere,Free conceded,1,Attacking third,Ciaran Flynn,,,0,,1,0
20,00:07:26,Killinkere,Turnover,1,Interception,Shane Ryan,,,2,,1,0
21,00:07:30,Drumgoon,Attacks,1,Possession lost,,,,0,,1,0
22,00:07:57,Drumgoon,Free conceded,1,Defensive third,Player 9,,,-1,,1,0
23,00:08:21,Killinkere,Possession lost,1,Handling,Kevin McCabe,,,-1,,1,0
24,00:08:33,Killinkere,Free conceded,1,Defensive third,Luke Crossan,,,-1,,1,0
25,00:09:03,Drumgoon,Scoreable free,1,2 Points,Player 14,0.7327744,0.2782069,2,#f7941d,1,2
26,00:09:12,Drumgoon,Attacks,1,Shot taken,Player 14,,,0,,1,0
27,00:09:17,Killinkere,Kickout,1,Short won,Harry Banville,0.7835366,0.8565522,1,,1,0
28,00:09:57,Drumgoon,Free conceded,1,Defensive third,Player 12,,,-1,,1,0
29,00:10:19,Killinkere,Scoreable free,1,Point,Neill McCabe,0.2306402,0.5795233,1,#ffffff,1,1
30,00:10:23,Killinkere,Attacks,1,Shot taken,Neill McCabe,,,0,,1,0
31,00:10:35,Drumgoon,Kickout,1,Won clean,Player 9,0.5466464,0.5241175,1,,1,0
32,00:10:52,Killinkere,Turnover,1,In Contact,Liam McCabe,,,3,,1,0
33,00:11:03,Killinkere,Possession lost,1,In Contact,Philip Corrigan,,,-1,,1,0
34,00:11:18,Drumgoon,Free conceded,1,Attacking third,Player 13,,,0,,1,0
35,00:12:08,Killinkere,Possession lost,1,Hand pass,Fiachra Mooney,,,-1,,1,0
36,00:12:14,Killinkere,Free conceded,1,Attacking third,Ciaran Flynn,,,0,,1,0
37,00:12:52,Killinkere,Turnover,1,Interception,James Farrelly,,,2,,1,0
38,00:13:11,Drumgoon,Free conceded,1,Defensive third,Player 9,,,-1,,1,0
39,00:13:41,Killinkere,Scoreable free,1,Short,Darren Smith,0.2036585,0.273653,-1,#ed1c24,1,0
40,00:14:00,Drumgoon,Shot from play,1,Wide,,0.8361281,0.3009764,0,#ed1c24,1,0
41,00:14:03,Drumgoon,Attacks,1,Shot taken,,,,0,,1,0
42,00:14:18,Killinkere,Kickout,1,Break lost,Player 12,0.6330793,0.7890027,1,,0,0
43,00:14:38,Drumgoon,Shot from play,1,Short,Player 14,0.7885671,0.6774321,-1,#ed1c24,1,0
44,00:14:42,Drumgoon,Attacks,1,Shot taken,Player 14,,,0,,1,0
45,00:15:10,Drumgoon,Free conceded,1,Middle third,Player 9,,,0,,1,0
46,00:15:43,Killinkere,Possession lost,1,In Contact,Ciaran Flynn,,,-1,,1,0
47,00:15:47,Killinkere,Attacks,1,Possession lost,Ciaran Flynn,,,0,,1,0
48,00:15:53,Drumgoon,Free conceded,1,Defensive third,Player 7,,,-1,,1,0
49,00:16:21,Killinkere,Scoreable free,1,Wide,Neill McCabe,0.2571646,0.5605487,0,#ed1c24,1,0
50,00:16:26,Killinkere,Attacks,1,Mark taken,Neill McCabe,,,1,,1,0
51,00:16:35,Drumgoon,Kickout,1,Won clean,Player 9,0.5402439,0.3616951,1,,1,0
52,00:16:51,Drumgoon,Shot from play,1,Point,Player 11,0.8009146,0.3912954,1,#ffffff,1,1
53,00:16:55,Drumgoon,Attacks,1,Shot taken,Player 11,,,0,,1,0
54,00:17:10,Killinkere,Kickout,1,Won clean,Philip Corrigan,0.5772866,0.1097126,1,,1,0
55,00:17:31,Killinkere,Possession lost,1,Kick pass,Darren Smith,,,-1,,1,0
56,00:17:35,Killinkere,Attacks,1,Kick lost,Darren Smith,,,0,,1,0
57,00:17:58,Killinkere,Free conceded,1,Defensive third,Darren Smith,,,-1,,1,0
58,00:18:10,Killinkere,Bookings,1,Black,Alex Sweeney,,,-2,,1,0
59,00:18:38,Drumgoon,Scoreable free,1,Wide,Player 14,0.8123475,0.3040123,0,#ed1c24,1,0
60,00:18:45,Drumgoon,Attacks,1,Mark taken,Player 14,,,1,,1,0
61,00:19:02,Killinkere,Kickout,1,Won clean,Darren Smith,0.6083841,0.3161561,1,,1,0
62,00:19:48,Killinkere,Free conceded,1,Middle third,Darren Smith,,,0,,1,0
63,00:19:52,Killinkere,Turnover,1,In Contact,James Farrelly,,,3,,1,0
64,00:20:06,Killinkere,Shot from play,1,Short,Darren Smith,0.1629573,0.7047555,-1,#ed1c24,1,0
65,00:20:09,Killinkere,Attacks,1,Shot taken,Darren Smith,,,0,,1,0
66,00:20:31,Drumgoon,Shot from play,1,Short,Player 15,0.8384146,0.3078072,-1,#ed1c24,1,0
67,00:20:35,Drumgoon,Attacks,1,Shot taken,Player 15,,,0,,1,0
68,00:20:51,Killinkere,Possession lost,1,Sideline,Fiachra Mooney,,,-1,,1,0
69,00:21:10,Killinkere,Free conceded,1,Defensive third,Nathan McQuade,,,-1,,1,0
70,00:21:42,Drumgoon,Scoreable free,1,Wide,Player 14,0.74375,0.4694707,0,#ed1c24,1,0
71,00:21:47,Drumgoon,Attacks,1,Shot taken,Player 14,,,0,,1,0
72,00:22:08,Killinkere,Kickout,1,Won clean,Liam McCabe,0.6125,0.1043997,1,,1,0
73,00:23:23,Killinkere,Possession lost,1,Kick pass,Darren Smith,,,-1,,1,0
74,00:23:26,Killinkere,Attacks,1,Kick lost,Darren Smith,,,0,,1,0
75,00:23:36,Killinkere,Turnover,1,In Contact,Nathan McQuade,,,3,,1,0
76,00:23:45,Drumgoon,Free conceded,1,Attacking third,Player 14,,,0,,1,0
77,00:24:19,Drumgoon,Bookings,1,Yellow,Player 11,,,-1,,1,0
78,00:24:52,Killinkere,Shot from play,1,Wide,Darren Smith,0.1849085,0.6516266,0,#ed1c24,1,0
79,00:25:03,Killinkere,Attacks,1,Shot taken,Darren Smith,,,0,,1,0
80,00:25:14,Drumgoon,Free conceded,1,Defensive third,Player 9,,,-1,,1,0
81,00:25:20,Killinkere,Bookings,1,Yellow,James Farrelly,,,-1,,1,0
82,00:25:35,Killinkere,Scoreable free,1,2 Points,Neill McCabe,0.2736281,0.6576985,2,#f7941d,1,2
83,00:25:39,Killinkere,Attacks,1,Mark taken,Neill McCabe,,,1,,1,0
84,00:26:31,Drumgoon,Shot from play,1,Wide,Player 11,0.8516768,0.6106416,0,#ed1c24,1,0
85,00:26:36,Drumgoon,Attacks,1,Shot taken,Player 11,,,0,,1,0
86,00:26:49,Killinkere,Kickout,1,Won clean,Kevin McCabe,0.7446646,0.2228011,1,,1,0
