Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
1,00:00:25,Killinkere,Possession lost,1,Kick pass,Ruairi O Connell,,,-1,,1,0
2,00:01:21,Killinkere,Turnover,1,Interception,Ruairi O Connell,,,2,,1,0
3,00:01:24,Shercock,Attacks,1,Kick lost,Player 12,,,0,,1,0
4,00:02:13,Killinkere,Possession lost,1,Kick pass,Keiran Smith,,,-1,,1,0
5,00:02:38,Shercock,Shot from play,1,Wide,Player 15,0.9065549,0.6425189,0,#ed1c24,1,0
6,00:02:43,Shercock,Attacks,1,Shot taken,Player 15,,,0,,1,0
7,00:03:04,Killinkere,Kickout,1,Break won,Harry Banville,0.4153963,0.45505,1,,1,0
8,00:03:41,Killinkere,Possession lost,1,In Contact,Ben Philingham,,,-1,,1,0
9,00:03:44,Killinkere,Attacks,1,Possession lost,Ben Philingham,,,0,,1,0
10,00:04:10,Shercock,Shot from play,1,Wide,Player 13,0.771189,0.6561806,0,#ed1c24,1,0
11,00:04:13,Shercock,Attacks,1,Shot taken,Player 13,,,0,,1,0
12,00:04:32,Killinkere,Kickout,1,Break won,Harry McQuade,0.3939025,0.9127169,1,,1,0
13,00:04:49,Shercock,Free conceded,1,Middle third,Player 12,,,0,,1,0
14,00:05:13,Killinkere,Free conceded,1,Attacking third,Ciaran Cusack,,,0,,1,0
15,00:05:32,Killinkere,Attacks,1,Possession lost,Ciaran Cusack,,,0,,1,0
16,00:05:44,Shercock,Shot from play,1,Point,Player 12,0.8672256,0.5074198,1,#ffffff,1,1
17,00:05:48,Shercock,Attacks,1,Shot taken,Player 12,,,0,,1,0
18,00:05:56,Killinkere,Kickout,1,Won clean,Darren Smith,0.6019817,0.8436494,1,,1,0
19,00:06:41,Killinkere,Shot from play,1,Short,Philip Corrigan,0.2365854,0.5597897,-1,#ed1c24,1,0
20,00:06:45,Killinkere,Attacks,1,Shot taken,Philip Corrigan,,,0,,1,0
21,00:07:35,Shercock,Shot from play,1,Wide,Player 13,0.8964939,0.681986,0,#ed1c24,1,0
22,00:07:41,Shercock,Attacks,1,Shot taken,Player 13,,,0,,1,0
23,00:07:48,Killinkere,Kickout,1,Break lost,Player 5,0.5128049,0.5112148,1,,0,0
24,00:08:12,Shercock,Shot from play,1,Wide,Player 10,0.8471037,0.3298178,0,#ed1c24,1,0
25,00:08:15,Shercock,Attacks,1,Shot taken,Player 10,,,0,,1,0
26,00:08:40,Killinkere,Kickout,1,Sideline ball,Player 11,0.3884146,0.01104479,0,,0,0
27,00:09:01,Killinkere,Turnover,1,Interception,Darren Smith,,,2,,1,0
28,00:10:16,Killinkere,Possession lost,1,In Contact,Ben Philingham,,,-1,,1,0
29,00:10:21,Killinkere,Attacks,1,Carry lost,Ben Philingham,,,0,,1,0
30,00:10:35,Killinkere,Turnover,1,Interception,Harry McQuade,,,2,,1,0
31,00:11:02,Shercock,Free conceded,1,Defensive third,,,,-1,,1,0
32,00:11:28,Killinkere,Scoreable free,1,Wide,Darren Smith,0.2050305,0.7343559,0,#ed1c24,1,0
33,00:11:31,Killinkere,Attacks,1,Mark taken,Darren Smith,,,1,,1,0
34,00:11:52,Shercock,Kickout,1,Won clean,Player 6,0.3179878,0.4884453,1,,1,0
35,00:12:18,Shercock,Shot from play,1,Point,Player 9,0.7766768,0.4732656,1,#ffffff,1,1
36,00:12:22,Shercock,Attacks,1,Shot taken,Player 9,,,0,,1,0
37,00:12:50,Killinkere,Kickout,1,Lost clean,Player 7,0.5594512,0.3783927,1,#ed1c24,0,0
38,00:14:07,Shercock,Shot from play,1,Wide,Player 11,0.8429878,0.2804838,0,#ed1c24,1,0
39,00:14:12,Shercock,Attacks,1,Shot taken,Player 11,,,0,,1,0
40,00:14:20,Killinkere,Kickout,1,Break lost,,0.3724085,0.9483891,1,,0,0
41,00:15:07,Killinkere,Turnover,1,In Contact,Darrell Dolan,,,3,,1,0
42,00:15:13,Shercock,Attacks,1,Carry lost,Player 15,,,0,,1,0
43,00:16:10,Killinkere,Shot from play,1,45,Mark Farrelly (S),0.09893293,0.3579001,0,#ed1c24,1,0
44,00:16:19,Killinkere,Attacks,1,Shot taken,Mark Farrelly (S),,,0,,1,0
45,00:16:58,Killinkere,Scoreable free,1,Wide,Lee Philingham,0.3170732,0.5279124,0,#ed1c24,1,0
46,00:17:21,Shercock,Kickout,1,Break won,Player 8,0.4268293,0.2782069,1,,1,0
47,00:18:11,Shercock,Shot from play,1,Point,Player 9,0.8772866,0.4140649,1,#ffffff,1,1
48,00:18:14,Shercock,Attacks,1,Shot taken,Player 9,,,0,,1,0
49,00:18:30,Killinkere,Kickout,1,Won clean,Harry McQuade,0.546189,0.4034391,1,,1,0
50,00:19:00,Killinkere,Possession lost,1,In Contact,Ciaran Cusack,,,-1,,1,0
