Event,Time,Period,Team Name,Name,Outcome,Player
1,00:01:25,1,Greenlough,Shot from play,Short,Player 11
2,00:01:31,1,Greenlough,Attacks,Shot taken,Player 11
3,00:01:58,1,Killinkere,Possession lost,Handling,Alex Sweeney
4,00:02:53,1,Killinkere,Shot from play,Point,Emmett Fitzsimons
5,00:02:58,1,Killinkere,Attacks,Shot taken,Emmett Fitzsimons
6,00:03:06,1,Greenlough,Kickout,Break lost,Kevin McCabe
7,00:04:28,1,Killinkere,Shot from play,Wide,Conall Mooney
8,00:04:35,1,Killinkere,Attacks,Shot taken,Conall Mooney
9,00:04:41,1,Greenlough,Kickout,Won clean,Player 12
10,00:05:20,1,Greenlough,Shot from play,Wide,Player 14
11,00:05:24,1,Greenlough,Attacks,Shot taken,Player 14
12,00:05:34,1,Killinkere,Kickout,Won clean,Kevin McCabe
13,00:06:07,1,Killinkere,Free conceded,Attacking third,Fiachra Mooney
14,00:06:12,1,Killinkere,Turnover,Interception,Emmett Fitzsimons
15,00:06:46,1,Killinkere,Shot from play,Wide,Darren Smith
16,00:06:55,1,Killinkere,Attacks,Shot taken,Darren Smith
17,00:06:59,1,Greenlough,Kickout,Won clean,Player 12
18,00:07:28,1,Killinkere,Turnover,In Contact,Gearoid Traynor
19,00:08:24,1,Killinkere,Shot from play,Wide,Conall Mooney
20,00:08:29,1,Killinkere,Attacks,Shot taken,Conall Mooney
21,00:08:49,1,Greenlough,Kickout,Break won,Player 3
22,00:09:04,1,Killinkere,Turnover,In Contact,Gearoid Traynor
23,00:09:41,1,Greenlough,Attacks,Shot taken,
24,00:09:49,1,Killinkere,Shot from play,Point,Darren Smith
25,00:09:54,1,Killinkere,Attacks,Shot taken,Darren Smith
26,00:10:09,1,Greenlough,Kickout,Break lost,Kevin McCabe
27,00:10:25,1,Killinkere,Attacks,Kick lost,Emmett Fitzsimons
28,00:10:28,1,Killinkere,Possession lost,Interception,Emmett Fitzsimons
29,00:11:03,1,Killinkere,Free conceded,Middle third,Alex Sweeney
30,00:11:43,1,Greenlough,Scoreable free,Wide,Player 15
31,00:11:49,1,Greenlough,Attacks,Mark taken,Player 15
32,00:11:59,1,Killinkere,Kickout,Lost clean,Player 1
33,00:12:25,1,Greenlough,Shot from play,Point,Player 13
34,00:12:29,1,Greenlough,Attacks,Shot taken,Player 13
