Event,Time,Period,Team Name,Name,Outcome,Player
1,00:00:29,1,Lavey,Free conceded,Defensive third,
2,00:01:49,1,Killinkere,Possession lost,Kick pass,David Ryan
3,00:02:07,1,Killinkere,Attacks,Kick lost,David Ryan
4,00:02:12,1,Lavey,Kickout,Sideline ball,Darrell Dolan
5,00:02:47,1,Killinkere,Possession lost,Kick pass,Philip Corrigan
6,00:03:31,1,Lavey,Shot from play,2 Points,Player 9
7,00:03:44,1,Killinkere,Kickout,Lost clean,Player 13
8,00:04:02,1,Killinkere,Turnover,In Contact,Philip Furlong
9,00:04:05,1,Lavey,Attacks,Carry lost,
10,00:04:40,1,Killinkere,Possession lost,Kick pass,Mark Farrelly (S)
11,00:05:12,1,Lavey,Shot from play,Point,Player 7
12,00:05:15,1,Lavey,Attacks,Shot taken,Player 7
13,00:05:33,1,Killinkere,Kickout,Won clean,Ruairi O Connell
14,00:05:54,1,Lavey,Free conceded,Middle third,
15,00:06:46,1,Killinkere,Shot from play,Wide,Ben Philingham
16,00:06:53,1,Killinkere,Attacks,Shot taken,Ben Philingham
17,00:07:06,1,Lavey,Kickout,Break won,Player 11
18,00:07:18,1,Killinkere,Free conceded,Middle third,Philip Furlong
19,00:07:28,1,Lavey,Shot from play,Point,Player 6
20,00:07:42,1,Lavey,Attacks,Shot taken,Player 6
21,00:07:47,1,Killinkere,Kickout,Break won,Keiran Smith
22,00:08:19,1,Killinkere,Possession lost,In Contact,Philip Corrigan
23,00:08:23,1,Killinkere,Attacks,Carry lost,Philip Corrigan
24,00:09:11,1,Killinkere,Turnover,In Contact,Shaun Clarke
25,00:09:19,1,Lavey,Attacks,Carry lost,
26,00:09:43,1,Killinkere,Shot from play,Wide,Ben Philingham
27,00:09:48,1,Killinkere,Attacks,Shot taken,Ben Philingham
28,00:10:06,1,Lavey,Kickout,Break won,Player 6
29,00:10:27,1,Killinkere,Turnover,Interception,Philip Furlong
30,00:11:08,1,Killinkere,Turnover,Interception,Philip Corrigan
31,00:11:22,1,Killinkere,Free conceded,Attacking third,Ryan Smith
32,00:11:35,1,Killinkere,Turnover,Interception,Sean Brady
33,00:12:03,1,Killinkere,Shot from play,Wide,
34,00:12:25,1,Lavey,Free conceded,Defensive third,
