Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
1,00:00:43,Ballymchugh,Shot from play,1,Save,Player 11,0.06280488,0.5726924,0,#ed1c24,1,0
2,00:00:50,Ballymchugh,Attacks,1,Shot taken,Player 11,,,0,,1,0
3,00:01:02,Killinkere,Possession lost,1,Kick pass,Kevin McCabe,,,-1,,1,0
4,00:01:13,Ballymchugh,Shot from play,1,Wide,,0.1940549,0.2964225,0,#ed1c24,1,0
5,00:01:19,Ballymchugh,Attacks,1,Shot taken,,,,0,,1,0
6,00:01:23,Killinkere,Kickout,1,Won clean,Kevin McCabe,0.3559451,0.5628256,1,,1,0
7,00:01:55,Killinkere,Possession lost,1,Hand pass,James Farrelly,,,-1,,1,0
8,00:02:54,Ballymchugh,Shot from play,1,Short,Player 9,0.3129573,0.3950903,-1,#ed1c24,1,0
9,00:02:59,Ballymchugh,Attacks,1,Shot taken,Player 9,,,0,,1,0
10,00:03:07,Killinkere,Possession lost,1,Hand pass,Gearoid Traynor,,,-1,,1,0
11,00:03:38,Ballymchugh,Shot from play,1,Point,Player 10,0.1885671,0.4277266,1,#ffffff,1,1
12,00:03:46,Ballymchugh,Attacks,1,Shot taken,Player 10,,,0,,1,0
13,00:03:55,Killinkere,Kickout,1,Break won,Alex Sweeney,0.5955793,0.1279282,1,,1,0
14,00:04:08,Ballymchugh,Free conceded,1,Middle third,,,,0,,1,0
15,00:05:08,Killinkere,Scoreable free,1,Wide,Cian McGovern,0.7588415,0.2971815,0,#ed1c24,1,0
16,00:05:18,Killinkere,Attacks,1,Mark taken,Cian McGovern,,,1,,1,0
17,00:05:24,Ballymchugh,Kickout,1,Break won,Player 5,0.3760671,0.7039965,1,,1,0
18,00:05:59,Ballymchugh,Shot from play,1,Point,Player 11,0.2256097,0.3996442,1,#ffffff,1,1
19,00:06:04,Ballymchugh,Attacks,1,Shot taken,Player 11,,,0,,1,0
20,00:06:30,Killinkere,Kickout,1,Short won,Gearoid Traynor,0.247561,0.8603471,1,,1,0
21,00:06:53,Killinkere,Possession lost,1,Hand pass,Cian McGovern,,,-1,,1,0
22,00:07:01,Killinkere,Attacks,1,Possession lost,Cian McGovern,,,0,,1,0
23,00:08:43,Killinkere,Possession lost,1,Handling,Luke Crossan,,,-1,,1,0
24,00:09:05,Ballymchugh,Shot from play,1,Wide,Player 11,0.2196646,0.6614935,0,#ed1c24,1,0
25,00:09:09,Ballymchugh,Attacks,1,Shot taken,Player 11,,,0,,1,0
26,00:09:19,Killinkere,Shot from play,1,Point,Cian McGovern,0.8516768,0.3427205,1,#ffffff,1,1
27,00:09:38,Killinkere,Attacks,1,Shot taken,Cian McGovern,,,0,,1,0
28,00:10:04,Ballymchugh,Kickout,1,Break lost,Ryan Smith,0.6125,0.8800806,1,,0,0
29,00:10:19,Killinkere,Possession lost,1,Handling,Fintan O’Connell,,,-1,,1,0
30,00:10:47,Killinkere,Attacks,1,Possession lost,Fintan O’Connell,,,0,,1,0
31,00:11:38,Ballymchugh,Shot from play,1,Point,Player 13,0.1890244,0.7206941,1,#ffffff,1,1
32,00:11:41,Ballymchugh,Attacks,1,Shot taken,Player 13,,,0,,1,0
33,00:12:00,Killinkere,Kickout,1,Lost clean,Player 5,0.4240854,0.730561,1,#ed1c24,0,0
34,00:12:22,Ballymchugh,Shot from play,1,Goal,Player 15,0.0367378,0.4011622,3,#70B12A,1,3
35,00:12:34,Ballymchugh,Attacks,1,Shot taken,Player 15,,,0,,1,0
36,00:12:43,Killinkere,Kickout,1,Break lost,,0.4089939,0.1605645,1,,0,0
37,00:13:05,Ballymchugh,Shot from play,1,Wide,Player 13,0.1954268,0.6857809,0,#ed1c24,1,0
38,00:13:10,Ballymchugh,Attacks,1,Shot taken,Player 13,,,0,,1,0
39,00:13:42,Killinkere,Shot from play,1,Wide,Kevin McCabe,0.8539634,0.6523857,0,#ed1c24,1,0
40,00:13:47,Killinkere,Attacks,1,Shot taken,Kevin McCabe,,,0,,1,0
41,00:14:05,Ballymchugh,Kickout,1,Break won,,0.564939,0.2045855,1,,1,0
42,00:14:16,Killinkere,Free conceded,1,Middle third,Alex Sweeney,,,0,,1,0
43,00:14:28,Killinkere,Turnover,1,In Contact,Luke Crossan,,,3,,1,0
44,00:15:00,Killinkere,Possession lost,1,Hand pass,James Farrelly,,,-1,,1,0
