Event,Time,Period,Team Name,Name,Outcome,Player
1,00:00:07,1,Killinkere,Ball Won,In Contact,Cian McGovern
2,00:00:31,1,Killinkere,Shot from play,Point,Jason McMahon
3,00:00:46,1,Clones,Kickout,Short won,Player 5
4,00:00:55,1,Clones,Free conceded,Defensive third,Player 1
5,00:01:21,1,Killinkere,Scoreable free,Wide,Cian McGovern
6,00:01:33,1,Clones,Kickout,Break won,Player 8
7,00:02:04,1,Killinkere,Ball Won,In Contact,Luke Crossan
8,00:02:14,1,Killinkere,Possession lost,Kick pass,Jason McMahon
9,00:02:25,1,Killinkere,Ball Won,Interception,Shane Ryan
10,00:02:53,1,Killinkere,Ball Won,In Contact,Ruairi O Connell
11,00:03:20,1,Killinkere,Scoreable free,Point,Ruairi O Connell
12,00:03:31,1,Clones,Kickout,Won clean,Player 8
13,00:03:50,1,Clones,Shot from play,Point,Player 10
14,00:04:07,1,Killinkere,Kickout,Short won,Shane Ryan
15,00:04:47,1,Killinkere,Shot from play,Point,Kevin McCabe
16,00:05:00,1,Clones,Kickout,Lost clean,Gearoid Traynor
17,00:05:32,1,Killinkere,Shot from play,Point,Conall Mooney
18,00:05:55,1,Clones,Kickout,Break lost,Alex Sweeney
19,00:06:10,1,Killinkere,Shot from play,Point,Kevin McCabe
20,00:06:30,1,Clones,Kickout,Break won,
21,00:07:11,1,Killinkere,Free conceded,Defensive third,Alex Sweeney
22,00:07:24,1,Clones,Scoreable free,Point,
23,00:07:41,1,Killinkere,Kickout,Short won,Kevin McCabe
24,00:08:40,1,Clones,Shot from play,Short,Player 10
25,00:09:19,1,Killinkere,Shot from play,Short,Darren Smith
26,00:09:34,1,Killinkere,Ball Won,In Contact,Cian McGovern
27,00:09:48,1,Clones,Ball Won,Interception,Player 4
28,00:10:16,1,Clones,Shot from play,Short,
29,00:10:36,1,Clones,Free conceded,Middle third,Player 6
30,00:11:37,1,Killinkere,Shot from play,Wide,Jason McMahon
31,00:12:00,1,Clones,Kickout,Won clean,Player 10
32,00:12:26,1,Clones,Shot from play,Point,Player 15
33,00:12:42,1,Killinkere,Kickout,Break lost,Player 7
34,00:13:09,1,Clones,Shot from play,Wide,Player 10
35,00:13:32,1,Killinkere,Kickout,Short won,Alex Sweeney
36,00:13:42,1,Killinkere,Possession lost,In Contact,Ryan Smith
37,00:14:06,1,Clones,Shot from play,Point,Player 8
38,00:14:27,1,Killinkere,Kickout,Won clean,Jason McMahon
39,00:14:43,1,Killinkere,Possession lost,Kick pass,Cian McGovern
40,00:15:46,1,Killinkere,Possession lost,Handling,Ruairi O Connell
41,00:16:04,1,Clones,Kickout,Short won,Player 3
42,00:16:40,1,Clones,Shot from play,Short,
43,00:17:49,1,Killinkere,Shot from play,Point,Cian McGovern
44,00:18:55,1,Clones,Shot from play,Wide,Player 13
45,00:19:14,1,Killinkere,Kickout,Short won,Kevin McCabe
46,00:19:40,1,Killinkere,Shot from play,Point,Conall Mooney
47,00:20:01,1,Clones,Kickout,Short won,Player 12
48,00:20:24,1,Killinkere,Free conceded,Middle third,Alex Sweeney
49,00:20:45,1,Clones,Shot from play,Short,
50,00:21:25,1,Killinkere,Possession lost,In Contact,Cian McGovern
51,00:21:42,1,Clones,Shot from play,Short,Player 14
52,00:21:58,1,Killinkere,Possession lost,Handling,Jason McMahon
53,00:22:44,1,Clones,Shot from play,Short,Player 6
54,00:23:11,1,Killinkere,Possession lost,Handling,Cian McGovern
