Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
1,00:00:26,Kill,Free conceded,1,Attacking third,Player 8,,,0,,1,0
2,00:00:39,Killinkere,Possession lost,1,Kick pass,Kevin McCabe,,,-1,,1,0
3,00:00:47,Kill,Shot from play,1,Wide,Player 13,0.7707317,0.5825592,0,#ed1c24,1,0
4,00:00:51,Kill,Attacks,1,Shot taken,Player 13,,,0,,1,0
5,00:01:09,Killinkere,Kickout,1,Break lost,Player 12,0.4153963,0.3594181,1,,0,0
6,00:01:30,Killinkere,Free conceded,1,Middle third,,,,0,,1,0
7,00:02:15,Kill,Shot from play,1,Point,,0.6879573,0.2144523,1,#ffffff,1,1
8,00:02:33,Killinkere,Kickout,1,Short won,Benny McConnell,0.798628,0.8406135,1,,1,0
9,00:03:00,Kill,Attacks,1,Shot taken,,,,0,,1,0
10,00:03:45,Killinkere,Possession lost,1,Handling,James Farrelly,,,-1,,1,0
11,00:04:08,Killinkere,Free conceded,1,Middle third,James Farrelly,,,0,,1,0
12,00:04:28,Kill,Shot from play,1,Wide,Player 12,0.7300305,0.2865557,0,#ed1c24,1,0
13,00:04:36,Kill,Attacks,1,Shot taken,Player 12,,,0,,1,0
14,00:04:38,Killinkere,Kickout,1,Short won,Benny McConnell,0.8050305,0.8368186,1,,1,0
15,00:05:17,Killinkere,Shot from play,1,Goal,Cian McGovern,0.06783537,0.4512551,3,#70B12A,1,3
16,00:05:28,Killinkere,Attacks,1,Shot taken,Cian McGovern,,,0,,1,0
17,00:05:39,Kill,Kickout,1,Break won,Player 11,0.5754573,0.4770605,1,,1,0
18,00:06:23,Kill,Shot from play,1,Wide,Player 12,0.8841463,0.7533304,0,#ed1c24,1,0
19,00:06:27,Kill,Attacks,1,Shot taken,Player 12,,,0,,1,0
20,00:06:43,Killinkere,Kickout,1,Short won,Darren Smith,0.7748476,0.8823576,1,,1,0
21,00:07:45,Killinkere,Shot from play,1,Point,Darren Smith,0.08292683,0.7244891,1,#ffffff,1,1
22,00:07:49,Killinkere,Attacks,1,Shot taken,Darren Smith,,,0,,1,0
23,00:08:04,Kill,Kickout,1,Break won,Player 14,0.6161585,0.1484208,1,,1,0
24,00:08:54,Killinkere,Turnover,1,Interception,Emmett Fitzsimons,,,2,,1,0
25,00:09:00,Kill,Attacks,1,Carry lost,,,,0,,1,0
26,00:09:21,Killinkere,Shot from play,1,Short,Fiachra Mooney,0.2310976,0.3586591,-1,#ed1c24,1,0
27,00:09:27,Killinkere,Attacks,1,Shot taken,Fiachra Mooney,,,0,,1,0
28,00:09:33,Killinkere,Free conceded,1,Attacking third,Ben Philingham,,,0,,1,0
29,00:09:57,Killinkere,Turnover,1,In Contact,Shane Ryan,,,3,,1,0
30,00:10:03,Kill,Attacks,1,Carry lost,,,,0,,1,0
31,00:10:51,Killinkere,Possession lost,1,Hand pass,Kevin McCabe,,,-1,,1,0
32,00:11:00,Killinkere,Attacks,1,Carry lost,Kevin McCabe,,,0,,1,0
33,00:11:17,Killinkere,Turnover,1,Interception,Liam McCabe,,,2,,1,0
34,00:11:24,Kill,Attacks,1,Carry lost,,,,0,,1,0
35,00:11:44,Killinkere,Possession lost,1,Handling,Cian McGovern,,,-1,,1,0
36,00:11:47,Killinkere,Attacks,1,Carry lost,Cian McGovern,,,0,,1,0
37,00:12:28,Killinkere,Shot from play,1,Short,Fintan O’Connell,0.2169207,0.3518283,-1,#ed1c24,1,0
38,00:12:35,Killinkere,Attacks,1,Shot taken,Fintan O’Connell,,,0,,1,0
39,00:12:39,Killinkere,Turnover,1,In Contact,Ben Philingham,,,3,,1,0
40,00:12:54,Killinkere,Shot from play,1,Wide,Cian McGovern,0.2379573,0.4618809,0,#ed1c24,1,0
41,00:12:59,Killinkere,Attacks,1,Shot taken,Cian McGovern,,,0,,1,0
42,00:13:13,Kill,Kickout,1,Lost clean,James Farrelly,0.479878,0.3328537,1,#ed1c24,0,0
43,00:13:41,Killinkere,Shot from play,1,Point,Conall Mooney,0.1917683,0.7085504,1,#ffffff,1,1
44,00:13:45,Killinkere,Attacks,1,Shot taken,Conall Mooney,,,0,,1,0
45,00:13:54,Kill,Kickout,1,Short won,Player 2,,,1,,1,0
46,00:14:14,Kill,Possession lost,1,Kick pass,Player 5,,,-1,,1,0
47,00:14:27,Killinkere,Kickout,1,Break lost,Player 12,0.51875,0.3222279,1,,0,0
48,00:14:42,Killinkere,Turnover,1,In Contact,Phelim Cusack,,,3,,1,0
49,00:15:17,Killinkere,Shot from play,1,Point,Fiachra Mooney,0.2137195,0.3829466,1,#ffffff,1,1
50,00:15:20,Killinkere,Attacks,1,Shot taken,Fiachra Mooney,,,0,,1,0
51,00:15:35,Kill,Kickout,1,Break won,,0.3692073,0.9218247,1,,1,0
52,00:15:50,Killinkere,Turnover,1,In Contact,Emmett Fitzsimons,,,3,,1,0
53,00:16:11,Killinkere,Shot from play,1,Wide,Ben Philingham,0.1771341,0.6546626,0,#ed1c24,1,0
54,00:16:19,Killinkere,Attacks,1,Shot taken,Ben Philingham,,,0,,1,0
55,00:16:30,Kill,Kickout,1,Won clean,Player 12,0.6161585,0.04975294,1,,1,0
56,00:16:46,Kill,Shot from play,1,Wide,Player 12,0.9339939,0.2888327,0,#ed1c24,1,0
57,00:17:00,Killinkere,Kickout,1,Won clean,Fintan O’Connell,0.5878049,0.06417362,1,,1,0
58,00:17:31,Killinkere,Shot from play,1,Point,Fiachra Mooney,0.2077744,0.4049571,1,#ffffff,1,1
59,00:17:34,Killinkere,Attacks,1,Shot taken,Fiachra Mooney,,,0,,1,0
60,00:17:48,Kill,Kickout,1,Break won,Player 5,0.3783537,0.817844,1,,1,0
61,00:18:01,Killinkere,Free conceded,1,Middle third,Ben Philingham,,,0,,1,0
62,00:18:16,Kill,Shot from play,1,Short,Player 5,0.753811,0.5931849,-1,#ed1c24,1,0
63,00:18:26,Killinkere,Turnover,1,In Contact,Phelim Cusack,,,3,,1,0
