Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
1,00:00:23,Munterconnaught,Free conceded,1,Middle third,Ryan Gilsenan,,,0,,1,0
2,00:00:31,Killinkere,Possession lost,1,In Contact,Jason McMahon,,,-1,,1,0
3,00:00:44,Killinkere,Turnover,1,Interception,Benny McConnell,,,2,,1,0
4,00:00:53,Killinkere,Attacks,1,Possession lost,Jason McMahon,,,0,,1,0
5,00:01:08,Killinkere,Shot from play,1,Point,Conall Mooney,0.8246951,0.4914812,1,#ffffff,1,1
6,00:01:11,Killinkere,Attacks,1,Shot taken,Conall Mooney,,,0,,1,0
7,00:01:26,Munterconnaught,Kickout,1,Break won,Fintan Devin,0.3719512,0.6751552,1,,1,0
8,00:01:45,Munterconnaught,Shot from play,1,Point,Corey Gilsenan,0.1464939,0.5241175,1,#ffffff,1,1
9,00:01:48,Munterconnaught,Attacks,1,Shot taken,Corey Gilsenan,,,0,,1,0
10,00:02:10,Killinkere,Kickout,1,Break won,Conall Mooney,0.5891768,0.7002016,1,,1,0
11,00:02:25,Killinkere,Shot from play,1,Point,Fiachra Mooney,0.9609756,0.3859825,1,#ffffff,1,1
12,00:02:31,Killinkere,Attacks,1,Shot taken,Fiachra Mooney,,,0,,1,0
13,00:02:42,Munterconnaught,Kickout,1,Lost clean,Jason McMahon,0.3820122,0.7654741,1,#ed1c24,0,0
14,00:02:59,Killinkere,Shot from play,1,Point,Kevin McCabe,0.8827744,0.4239317,1,#ffffff,1,1
15,00:03:02,Killinkere,Attacks,1,Shot taken,Kevin McCabe,,,0,,1,0
16,00:03:23,Munterconnaught,Kickout,1,Break lost,Cian McGovern,0.4172256,0.2926276,1,,0,0
17,00:04:07,Killinkere,Free conceded,1,Attacking third,Alex Sweeney,,,0,,1,0
18,00:04:11,Killinkere,Attacks,1,Possession lost,Alex Sweeney,,,0,,1,0
19,00:04:22,Killinkere,Turnover,1,Interception,Kevin McCabe,,,2,,1,0
20,00:04:27,Munterconnaught,Free conceded,1,Middle third,Corey Gilsenan,,,0,,1,0
21,00:04:36,Killinkere,Free conceded,1,Middle third,Nathan McQuade,,,0,,1,0
22,00:05:16,Munterconnaught,Scoreable free,1,Wide,Enda O Shea,0.2914634,0.2797249,0,#ed1c24,1,0
23,00:05:20,Munterconnaught,Attacks,1,Mark taken,Enda O Shea,,,1,,1,0
24,00:05:39,Killinkere,Kickout,1,Break won,Kevin McCabe,0.5429878,0.2197652,1,,1,0
25,00:05:47,Killinkere,Shot from play,1,Point,Emmett Fitzsimons,0.876372,0.3237459,1,#ffffff,1,1
26,00:05:53,Killinkere,Attacks,1,Shot taken,Emmett Fitzsimons,,,0,,1,0
27,00:06:07,Munterconnaught,Kickout,1,Short won,Tadgh Morrissey,0.6815549,0.4952761,1,,1,0
28,00:06:16,Killinkere,Free conceded,1,Middle third,,,,0,,1,0
29,00:06:27,Munterconnaught,Shot from play,1,Wide,Player 19,0.1300305,0.6690833,0,#ed1c24,1,0
30,00:06:40,Munterconnaught,Attacks,1,Shot taken,Player 19,,,0,,1,0
31,00:06:43,Killinkere,Kickout,1,Lost clean,Eoin O Shea,0.2571646,0.8755267,1,#ed1c24,0,0
32,00:07:05,Munterconnaught,Shot from play,1,Point,Daniel Yore,0.2347561,0.3548642,1,#ffffff,1,1
33,00:07:10,Munterconnaught,Attacks,1,Shot taken,Daniel Yore,,,0,,1,0
34,00:07:17,Killinkere,Kickout,1,Lost clean,Sean Clarke,0.4140244,0.3366486,1,#ed1c24,0,0
35,00:07:29,Killinkere,Free conceded,1,Defensive third,Nathan McQuade,,,-1,,1,0
36,00:07:36,Munterconnaught,Attacks,1,Mark taken,,,,1,,1,0
37,00:07:56,Munterconnaught,Scoreable free,1,Wide,Daniel Yore,0.2118903,0.3116022,0,#ed1c24,1,0
38,00:08:13,Killinkere,Kickout,1,Short won,Shane Ryan,0.2054878,0.9309325,1,,1,0
39,00:08:41,Killinkere,Shot from play,1,Wide,Conall Mooney,0.7570122,0.5704154,0,#ed1c24,1,0
40,00:08:46,Killinkere,Attacks,1,Shot taken,Conall Mooney,,,0,,1,0
41,00:08:58,Munterconnaught,Kickout,1,Break lost,Phelim Cusack,0.4053354,0.8337827,1,,0,0
42,00:09:17,Killinkere,Shot from play,1,Wide,Jason McMahon,0.6943598,0.7563664,0,#ed1c24,1,0
43,00:09:22,Killinkere,Attacks,1,Shot taken,Jason McMahon,,,0,,1,0
44,00:09:34,Munterconnaught,Kickout,1,Won clean,Ryan Nwaneri,0.3669207,0.4337985,1,,1,0
45,00:09:49,Munterconnaught,Shot from play,1,Point,Enda O Shea,0.2050305,0.3449974,1,#ffffff,1,1
46,00:10:02,Munterconnaught,Attacks,1,Shot taken,Enda O Shea,,,0,,1,0
47,00:10:08,Killinkere,Kickout,1,Break lost,Ryan Gilsenan,0.4304878,0.499071,1,,0,0
48,00:10:23,Munterconnaught,Shot from play,1,Short,Enda O Shea,0.1940549,0.6895759,-1,#ed1c24,1,0
49,00:10:25,Munterconnaught,Attacks,1,Shot taken,Enda O Shea,,,0,,1,0
50,00:11:12,Killinkere,Shot from play,1,45,Conall Mooney,0.8978658,0.7556074,0,#ed1c24,1,0
51,00:11:17,Killinkere,Attacks,1,Shot taken,Conall Mooney,,,0,,1,0
52,00:11:43,Killinkere,Scoreable free,1,Point,Cian McGovern,0.6829268,0.3161561,1,#ffffff,1,1
53,00:11:46,Killinkere,Attacks,1,Shot taken,Cian McGovern,,,0,,1,0
54,00:11:58,Munterconnaught,Kickout,1,Short won,Cian O Shea,0.6426829,0.5802823,1,,1,0
55,00:12:28,Munterconnaught,Shot from play,1,Blocked,Fintan Devin,0.1542683,0.3389256,0,#ed1c24,1,0
56,00:12:35,Munterconnaught,Attacks,1,Shot taken,Fintan Devin,,,0,,1,0
57,00:13:14,Munterconnaught,Scoreable free,1,Point,,0.3152439,0.4216547,1,#ffffff,1,1
58,00:13:17,Munterconnaught,Attacks,1,Shot taken,,,,0,,1,0
59,00:13:31,Killinkere,Kickout,1,Won clean,Alex Sweeney,0.4634146,0.2706171,1,,1,0
60,00:13:59,Killinkere,Attacks,1,Kick retained,Kevin McCabe,,,1,,1,0
61,00:14:11,Killinkere,Shot from play,1,Wide,Cian McGovern,0.7190549,0.3950903,0,#ed1c24,1,0
62,00:14:13,Killinkere,Attacks,1,Shot taken,Cian McGovern,,,0,,1,0
63,00:14:31,Munterconnaught,Kickout,1,Break lost,Shane Ryan,0.3943598,0.5408151,1,,0,0
64,00:15:03,Killinkere,Possession lost,1,In Contact,Benny McConnell,,,-1,,1,0
65,00:15:08,Killinkere,Turnover,1,In Contact,Benny McConnell,,,3,,1,0
66,00:15:12,Killinkere,Attacks,1,Carry lost,Benny McConnell,,,0,,1,0
