Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
1,00:00:17,Killinkere,Turnover,1,In Contact,Jason McMahon,,,3,,1,0
2,00:00:33,Cornafean,Free conceded,1,Middle third,Player 12,,,0,,1,0
3,00:00:59,Killinkere,Possession lost,1,Kick pass,Jason McMahon,,,-1,,1,0
4,00:01:15,Killinkere,Attacks,1,Kick lost,Jason McMahon,,,0,,1,0
5,00:01:31,Cornafean,Shot from play,1,Goal,Player 15,0.9115854,0.3988853,3,#70B12A,1,3
6,00:01:41,Cornafean,Attacks,1,Shot taken,Player 15,,,0,,1,0
7,00:01:54,Killinkere,Kickout,1,Won clean,Cian McGovern,0.3911586,0.1894059,1,,1,0
8,00:02:07,Killinkere,Shot from play,1,Point,Cian McGovern,0.2210366,0.3685259,1,#ffffff,1,1
9,00:02:10,Killinkere,Attacks,1,Shot taken,Cian McGovern,,,0,,1,0
10,00:02:31,Cornafean,Kickout,1,Short won,Player 6,0.3129573,0.4163419,1,,1,0
11,00:02:50,Cornafean,Shot from play,1,Wide,Player 13,0.7332317,0.7017196,0,#ed1c24,1,0
12,00:02:57,Cornafean,Attacks,1,Shot taken,Player 13,,,0,,1,0
13,00:03:08,Killinkere,Kickout,1,Break lost,,0.3980183,0.3427205,1,,0,0
14,00:03:20,Killinkere,Free conceded,1,Middle third,Cian McGovern,,,0,,1,0
15,00:03:27,Cornafean,Shot from play,1,Goal,Player 14,0.8896341,0.3571412,3,#70B12A,1,3
16,00:03:31,Cornafean,Attacks,1,Shot taken,Player 14,,,0,,1,0
17,00:03:49,Killinkere,Kickout,1,Break lost,Player 10,0.4862805,0.58939,1,,0,0
18,00:04:22,Killinkere,Turnover,1,In Contact,Benny McConnell,,,3,,1,0
19,00:04:35,Cornafean,Attacks,1,Carry lost,,,,0,,1,0
20,00:04:49,Killinkere,Shot from play,1,Wide,Emmett Fitzsimons,0.1675305,0.2668222,0,#ed1c24,1,0
21,00:04:55,Killinkere,Attacks,1,Shot taken,Emmett Fitzsimons,,,0,,1,0
22,00:05:04,Cornafean,Kickout,1,Short won,Player 5,0.2717988,0.6675653,1,,1,0
23,00:05:20,Killinkere,Turnover,1,Interception,Jason McMahon,,,2,,1,0
24,00:05:25,Cornafean,Attacks,1,Possession lost,Player 4,,,0,,1,0
25,00:05:38,Killinkere,Possession lost,1,Sideline,Alex Sweeney,,,-1,,1,0
26,00:06:10,Killinkere,Turnover,1,In Contact,Alex Sweeney,,,3,,1,0
27,00:06:15,Cornafean,Free conceded,1,Middle third,,,,0,,1,0
28,00:06:31,Killinkere,Shot from play,1,Point,Cian McGovern,0.2027439,0.3358896,1,#ffffff,1,1
29,00:06:36,Killinkere,Attacks,1,Shot taken,Cian McGovern,,,0,,1,0
30,00:06:45,Cornafean,Kickout,1,Break lost,Neill McCabe,0.2342988,0.5947029,1,,0,0
31,00:07:06,Killinkere,Shot from play,1,Short,Neill McCabe,0.2434451,0.5726924,-1,#ed1c24,1,0
32,00:07:10,Killinkere,Attacks,1,Shot taken,Neill McCabe,,,0,,1,0
33,00:07:19,Killinkere,Free conceded,1,Middle third,Emmett Fitzsimons,,,0,,1,0
34,00:07:48,Killinkere,Free conceded,1,Defensive third,Nathan McQuade,,,-1,,1,0
35,00:08:05,Cornafean,Scoreable free,1,Point,Player 13,0.8525915,0.4876863,1,#ffffff,1,1
36,00:08:10,Cornafean,Attacks,1,Mark taken,Player 15,,,1,,1,0
37,00:08:29,Killinkere,Kickout,1,Short won,Conall Mooney,0.6573171,0.4861683,1,,1,0
38,00:09:03,Killinkere,Possession lost,1,Kick pass,Jason McMahon,,,-1,,1,0
39,00:09:11,Killinkere,Attacks,1,Kick lost,Jason McMahon,,,0,,1,0
40,00:09:47,Cornafean,Shot from play,1,2 Points,Player 12,0.7400914,0.2926276,2,#f7941d,1,2
41,00:10:04,Killinkere,Kickout,1,Lost clean,Player 8,0.4282012,0.5984979,1,#ed1c24,0,0
42,00:10:21,Cornafean,Shot from play,1,Wide,Player 11,0.6980183,0.4838914,0,#ed1c24,1,0
43,00:10:24,Cornafean,Attacks,1,Shot taken,Player 11,,,0,,1,0
44,00:10:34,Cornafean,Attacks,1,Shot taken,Player 12,,,0,,1,0
45,00:10:44,Killinkere,Kickout,1,Break won,Nathan McQuade,0.4176829,0.4929992,1,,1,0
46,00:10:58,Cornafean,Free conceded,1,Middle third,Player 8,,,0,,1,0
47,00:11:25,Killinkere,Free conceded,1,Middle third,Emmett Fitzsimons,,,0,,1,0
48,00:11:55,Cornafean,Shot from play,1,Point,Player 15,0.7689024,0.502866,1,#ffffff,1,1
49,00:11:58,Killinkere,Attacks,1,Shot taken,Fiachra Mooney,,,0,,1,0
50,00:12:09,Killinkere,Kickout,1,Won clean,Emmett Fitzsimons,0.4643293,0.1089536,1,,1,0
