Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
1,00:00:16,Killinkere,Shot from play,1,Point,Jason McMahon,0.2114329,0.3396845,1,#ffffff,1,1
2,00:00:22,Killinkere,Attacks,1,Shot taken,Jason McMahon,,,0,,1,0
3,00:00:45,Drumlane,Kickout,1,Won clean,Player 11,0.5846037,0.4725066,1,,1,0
4,00:01:34,Killinkere,Turnover,1,Interception,Benny McConnell,,,2,,1,0
5,00:01:37,Drumlane,Attacks,1,Possession lost,,,,0,,1,0
6,00:02:08,Killinkere,Shot from play,1,Point,Fiachra Mooney,0.1474085,0.3328537,1,#ffffff,1,1
7,00:02:11,Killinkere,Attacks,1,Shot taken,Fiachra Mooney,,,0,,1,0
8,00:02:33,Drumlane,Kickout,1,Lost clean,Phelim Cusack,0.3362805,0.3153971,1,#ed1c24,0,0
9,00:02:53,Killinkere,Possession lost,1,In Contact,Fiachra Mooney,,,-1,,1,0
10,00:02:56,Killinkere,Turnover,1,Interception,Alex Sweeney,,,2,,1,0
11,00:03:23,Killinkere,Possession lost,1,Hand pass,Cian McGovern,,,-1,,1,0
12,00:03:27,Killinkere,Attacks,1,Possession lost,Cian McGovern,,,0,,1,0
13,00:03:48,Killinkere,Turnover,1,In Contact,Harry Banville,,,3,,1,0
14,00:03:52,Drumlane,Attacks,1,Kick lost,,,,0,,1,0
15,00:04:09,Killinkere,Possession lost,1,Handling,Cian McGovern,,,-1,,1,0
16,00:04:17,Killinkere,Turnover,1,Interception,Fiachra Mooney,,,2,,1,0
17,00:04:23,Killinkere,Shot from play,1,Point,Fiachra Mooney,0.1963415,0.4330395,1,#ffffff,1,1
18,00:04:26,Killinkere,Attacks,1,Shot taken,Fiachra Mooney,,,0,,1,0
19,00:04:35,Drumlane,Kickout,1,Break lost,Alex Sweeney,0.4935976,0.4664347,1,,0,0
20,00:06:40,Killinkere,Shot from play,1,Goal,Jason McMahon,0.1510671,0.4133059,3,#70B12A,1,3
21,00:06:43,Killinkere,Attacks,1,Shot taken,Jason McMahon,,,0,,1,0
22,00:07:02,Drumlane,Kickout,1,Won clean,Player 9,0.4894817,0.4368344,1,,1,0
23,00:07:19,Drumlane,Shot from play,1,Point,Player 13,0.7748476,0.6463138,1,#ffffff,1,1
24,00:07:25,Drumlane,Attacks,1,Shot taken,Player 13,,,0,,1,0
25,00:07:43,Killinkere,Kickout,1,Won clean,Kevin McCabe,0.6532012,0.8519983,1,,1,0
26,00:07:56,Killinkere,Possession lost,1,Kick pass,Kevin McCabe,,,-1,,1,0
27,00:08:27,Killinkere,Turnover,1,Interception,James Farrelly,,,2,,1,0
28,00:08:36,Killinkere,Possession lost,1,Hand pass,Fiachra Mooney,,,-1,,1,0
29,00:08:40,Killinkere,Attacks,1,Possession lost,Fiachra Mooney,,,0,,1,0
30,00:08:55,Killinkere,Turnover,1,In Contact,Benny McConnell,,,3,,1,0
31,00:09:48,Killinkere,Shot from play,1,Wide,Jason McMahon,0.2233232,0.3328537,0,#ed1c24,1,0
32,00:09:53,Killinkere,Attacks,1,Shot taken,Jason McMahon,,,0,,1,0
33,00:10:04,Drumlane,Kickout,1,Short won,Player 7,0.2228658,0.9043681,1,,1,0
34,00:10:25,Drumlane,Shot from play,1,Goal,Player 15,0.902439,0.6895759,3,#70B12A,1,3
35,00:10:44,Drumlane,Attacks,1,Shot taken,Player 15,,,0,,1,0
36,00:10:50,Killinkere,Kickout,1,Sideline ball,Player 7,0.6417683,0.9726766,0,,0,0
37,00:11:14,Drumlane,Shot from play,1,Point,Player 13,0.8310975,0.638724,1,#ffffff,1,1
38,00:11:22,Drumlane,Attacks,1,Shot taken,Player 13,,,0,,1,0
39,00:11:36,Killinkere,Kickout,1,Won clean,Alex Sweeney,0.6239329,0.4626398,1,,1,0
40,00:12:04,Killinkere,Possession lost,1,Kick pass,Cian McGovern,,,-1,,1,0
41,00:12:07,Killinkere,Attacks,1,Kick lost,Cian McGovern,,,0,,1,0
42,00:12:38,Drumlane,Shot from play,1,Point,Player 14,0.7766768,0.5157686,1,#ffffff,1,1
43,00:12:41,Drumlane,Attacks,1,Shot taken,Player 14,,,0,,1,0
44,00:13:00,Killinkere,Kickout,1,Won clean,Benny McConnell,0.6435975,0.7343559,1,,1,0
45,00:13:20,Killinkere,Possession lost,1,Kick pass,Alex Sweeney,,,-1,,1,0
46,00:13:26,Killinkere,Attacks,1,Possession lost,Alex Sweeney,,,0,,1,0
47,00:13:42,Drumlane,Shot from play,1,Point,Player 15,0.8429878,0.5066609,1,#ffffff,1,1
48,00:13:45,Drumlane,Attacks,1,Shot taken,Player 15,,,0,,1,0
49,00:14:04,Killinkere,Kickout,1,Break lost,Player 11,0.6051829,0.4004032,1,,0,0
50,00:15:28,Killinkere,Shot from play,1,Wide,Jason McMahon,0.2301829,0.3100842,0,#ed1c24,1,0
51,00:15:36,Killinkere,Attacks,1,Shot taken,Jason McMahon,,,0,,1,0
52,00:16:04,Drumlane,Kickout,1,Short won,Player 8,0.3115854,0.501348,1,,1,0
53,00:16:23,Killinkere,Turnover,1,In Contact,Kevin McCabe,,,3,,1,0
54,00:17:16,Killinkere,Turnover,1,In Contact,Harry Banville,,,3,,1,0
55,00:17:18,Drumlane,Attacks,1,Carry lost,,,,0,,1,0
56,00:17:25,Killinkere,Possession lost,1,In Contact,Cian McGovern,,,-1,,1,0
57,00:17:45,Killinkere,Possession lost,1,Hand pass,,,,-1,,1,0
