Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
1,00:00:34,Killinkere,Possession lost,1,Kick pass,Darren Smith,,,-1,,1,0
2,00:00:40,Killinkere,Free conceded,1,Attacking third,Darren Smith,,,0,,1,0
3,00:01:24,Cuchulainns,Shot from play,1,Point,Player 13,0.78125,0.5096968,1,#ffffff,1,1
4,00:01:27,Cuchulainns,Attacks,1,Shot taken,Player 13,,,0,,1,0
5,00:01:38,Killinkere,Kickout,1,Break lost,Player 6,0.3934451,0.1939598,1,,0,0
6,00:03:00,Cuchulainns,Shot from play,1,Wide,Player 7,0.8653963,0.3002174,0,#ed1c24,1,0
7,00:03:04,Cuchulainns,Attacks,1,Shot taken,Player 7,,,0,,1,0
8,00:03:22,Killinkere,Kickout,1,Break won,Gearoid Traynor,0.3838415,0.4034391,1,,1,0
9,00:03:55,Killinkere,Shot from play,1,Wide,Darren Smith,0.2123476,0.637965,0,#ed1c24,1,0
10,00:03:59,Killinkere,Attacks,1,Shot taken,Darren Smith,,,0,,1,0
11,00:04:25,Cuchulainns,Kickout,1,Break won,Player 12,0.4153963,0.6979247,1,,1,0
12,00:04:56,Killinkere,Free conceded,1,Middle third,Keiran Smith,,,0,,1,0
13,00:05:14,Cuchulainns,Scoreable free,1,Point,Player 13,0.8393292,0.4671938,1,#ffffff,1,1
14,00:05:17,Cuchulainns,Attacks,1,Mark taken,Player 13,,,1,,1,0
15,00:05:34,Killinkere,Kickout,1,Break lost,Player 15,0.6179878,0.9074041,1,,0,0
16,00:05:57,Killinkere,Turnover,1,Interception,Darrell Dolan,,,2,,1,0
17,00:06:35,Killinkere,Possession lost,1,Handling,Ben Philingham,,,-1,,1,0
18,00:06:49,Killinkere,Bookings,1,Yellow,Ben Philingham,,,-1,,1,0
19,00:07:33,Cuchulainns,Shot from play,1,Goal,Player 13,0.8315549,0.6045697,3,#70B12A,1,3
20,00:07:37,Cuchulainns,Attacks,1,Shot taken,Player 13,,,0,,1,0
21,00:08:02,Killinkere,Kickout,1,Sideline ball,Player 6,0.4442073,0.0376092,0,,0,0
22,00:08:33,Cuchulainns,Shot from play,1,Short,,0.7423781,0.3715619,-1,#ed1c24,1,0
23,00:08:38,Cuchulainns,Attacks,1,Shot taken,,,,0,,1,0
24,00:09:03,Killinkere,Shot from play,1,Wide,Harry McQuade,0.1963415,0.2926276,0,#ed1c24,1,0
25,00:09:07,Killinkere,Attacks,1,Shot taken,Harry McQuade,,,0,,1,0
26,00:09:28,Cuchulainns,Kickout,1,Break lost,Mark Farrelly (S),0.3778963,0.726766,1,,0,0
27,00:09:40,Cuchulainns,Free conceded,1,Middle third,Player 3,,,0,,1,0
28,00:09:54,Cuchulainns,Free conceded,1,Middle third,Player 11,,,0,,1,0
29,00:10:31,Killinkere,Possession lost,1,Handling,Fiachra Mooney,,,-1,,1,0
30,00:11:20,Killinkere,Turnover,1,Interception,Mark Farrelly (S),,,2,,1,0
31,00:11:23,Cuchulainns,Attacks,1,Possession lost,,,,0,,1,0
32,00:12:07,Killinkere,Possession lost,1,Kick pass,Darren Smith,,,-1,,1,0
33,00:12:14,Killinkere,Attacks,1,Kick lost,Darren Smith,,,0,,1,0
34,00:13:13,Cuchulainns,Shot from play,1,Short,Player 13,0.7762195,0.3988853,-1,#ed1c24,1,0
35,00:13:16,Cuchulainns,Attacks,1,Shot taken,Player 13,,,0,,1,0
36,00:13:47,Killinkere,Shot from play,1,Short,Fiachra Mooney,0.09070122,0.03836818,-1,#ed1c24,1,0
37,00:13:54,Killinkere,Attacks,1,Shot taken,Fiachra Mooney,,,0,,1,0
38,00:14:32,Cuchulainns,Shot from play,1,Wide,,0.7592988,0.4838914,0,#ed1c24,1,0
39,00:14:36,Cuchulainns,Attacks,1,Shot taken,,,,0,,1,0
40,00:15:41,Killinkere,Bookings,1,Yellow,Cian Fitzsimons,,,-1,,1,0
41,00:15:57,Killinkere,Kickout,1,Break lost,,0.4396341,0.5233585,1,,0,0
42,00:16:29,Cuchulainns,Shot from play,1,Wide,,0.8096036,0.8489623,0,#ed1c24,1,0
