Event,Time,Period,Team Name,Name,Outcome,Player
1,00:00:45,1,Killinkere,Shot from play,Wide,Darren Smith
2,00:01:06,1,Pearse OG,Kickout,Lost clean,Ruairi O Connell
3,00:01:50,1,Killinkere,Free conceded,Attacking third,Darren Smith
4,00:02:31,1,Pearse OG,Shot from play,Short,Player 11
5,00:02:52,1,Killinkere,Free conceded,Middle third,Nathan McQuade
6,00:03:00,1,Pearse OG,Shot from play,Point,Player 14
7,00:03:16,1,Killinkere,Kickout,Short won,Shane Ryan
8,00:03:29,1,Pearse OG,Free conceded,Attacking third,Player 12
9,00:03:54,1,Killinkere,Shot from play,Short,Luke Crossan
10,00:04:30,1,Killinkere,Possession lost,Kick pass,Phelim Cusack
11,00:04:35,1,Killinkere,Ball Won,In Contact,
12,00:05:02,1,Killinkere,Shot from play,Point,Jason McMahon
13,00:05:23,1,Pearse OG,Kickout,Break won,Player 11
14,00:05:47,1,Pearse OG,Shot from play,Wide,Player 11
15,00:05:59,1,Killinkere,Kickout,Won clean,Phelim Cusack
16,00:06:31,1,Killinkere,Possession lost,Hand pass,Nathan McQuade
17,00:06:36,1,Killinkere,Attacks,Carry lost,Nathan McQuade
18,00:06:52,1,Pearse OG,Kickout,Break won,
19,00:07:10,1,Pearse OG,Shot from play,Short,Player 14
20,00:07:52,1,Pearse OG,Free conceded,Middle third,
21,00:08:18,1,Killinkere,Possession lost,Hand pass,Fintan O’Connell
22,00:08:34,1,Pearse OG,Shot from play,Point,Player 14
23,00:08:56,1,Killinkere,Kickout,Won clean,Luke Crossan
24,00:09:17,1,Killinkere,Shot from play,Wide,Emmett Fitzsimons
25,00:09:37,1,Pearse OG,Kickout,Break lost,Kevin McCabe
26,00:10:32,1,Pearse OG,Free conceded,Attacking third,Player 4
27,00:10:44,1,Killinkere,Possession lost,Hand pass,Emmett Fitzsimons
28,00:11:06,1,Pearse OG,Shot from play,2 Points,Player 13
29,00:11:27,1,Killinkere,Kickout,Break lost,Player 6
30,00:11:43,1,Killinkere,Ball Won,In Contact,Kevin McCabe
31,00:12:45,1,Killinkere,Shot from play,Point,Fiachra Mooney
32,00:13:02,1,Pearse OG,Kickout,Lost clean,Jason McMahon
33,00:13:50,1,Killinkere,Shot from play,Point,Kevin McCabe
34,00:14:08,1,Pearse OG,Kickout,Break won,
35,00:14:29,1,Killinkere,Ball Won,In Contact,Shane Ryan
36,00:14:55,1,Killinkere,Shot from play,Wide,Jason McMahon
37,00:15:16,1,Pearse OG,Kickout,Break won,Player 5
38,00:15:29,1,Killinkere,Ball Won,In Contact,Nathan McQuade
39,00:16:00,1,Killinkere,Shot from play,Wide,Fiachra Mooney
40,00:16:22,1,Pearse OG,Kickout,Break won,Player 10
41,00:16:35,1,Killinkere,Free conceded,Middle third,Fintan O’Connell
42,00:17:04,1,Pearse OG,Shot from play,Wide,Player 14
43,00:17:19,1,Killinkere,Kickout,Break lost,Player 5
44,00:17:46,1,Pearse OG,Shot from play,2 Points,Player 10
45,00:18:07,1,Killinkere,Kickout,Won clean,Luke Crossan
46,00:18:47,1,Pearse OG,Free conceded,Defensive third,Player 5
47,00:19:24,1,Killinkere,Scoreable free,Wide,Conall Mooney
48,00:19:41,1,Pearse OG,Kickout,Lost clean,Phelim Cusack
49,00:19:55,1,Killinkere,Possession lost,Handling,Darren Smith
50,00:20:26,1,Pearse OG,Shot from play,Wide,Player 14
51,00:21:01,1,Killinkere,Kickout,Short won,Fintan O’Connell
52,00:21:21,1,Killinkere,Possession lost,Handling,Ryan Smith
53,00:22:16,1,Killinkere,Ball Won,Interception,Nathan McQuade
54,00:22:39,1,Killinkere,Shot from play,Wide,Jason McMahon
55,00:22:49,1,Pearse OG,Kickout,Sideline ball,
56,00:23:16,1,Killinkere,Possession lost,Handling,Ryan Smith
57,00:23:21,1,Killinkere,Free conceded,Attacking third,Ryan Smith
58,00:23:58,1,Pearse OG,Shot from play,Wide,Player 11
59,00:24:10,1,Killinkere,Kickout,Break won,Kevin McCabe
60,00:24:44,1,Killinkere,Shot from play,Wide,Emmett Fitzsimons
61,00:25:12,1,Pearse OG,Kickout,Break won,Player 5
62,00:25:55,1,Killinkere,Substitution,Substitution,Ruairi O Connell
63,00:26:04,1,Killinkere,Free conceded,Defensive third,Jason McMahon
64,00:26:40,1,Pearse OG,Shot from play,Wide,Player 11
65,00:26:53,1,Killinkere,Kickout,Won clean,Alex Sweeney
66,00:27:22,1,Killinkere,Shot from play,Point,Darren Smith
67,00:27:46,1,Pearse OG,Kickout,Break won,
68,00:28:30,1,Pearse OG,Shot from play,Point,Player 13
69,00:28:43,1,Killinkere,Kickout,Short won,Darren Smith
70,00:28:52,1,Killinkere,Possession lost,Kick pass,Darren Smith
71,00:29:17,1,Killinkere,Ball Won,In Contact,Darren Smith
72,00:29:20,1,Pearse OG,Free conceded,Middle third,
73,00:29:52,1,Killinkere,Shot from play,Point,Fiachra Mooney
74,00:30:21,2,Killinkere,Shot from play,Point,Jason McMahon
75,00:30:44,2,Pearse OG,Kickout,Lost clean,
76,00:31:13,2,Killinkere,Ball Won,In Contact,Phelim Cusack
77,00:31:47,2,Killinkere,Shot from play,Wide,Conall Mooney
78,00:32:07,2,Pearse OG,Kickout,Lost clean,Conall Mooney
79,00:32:24,2,Killinkere,Shot from play,Point,Alex Sweeney
80,00:32:47,2,Pearse OG,Kickout,Break lost,Emmett Fitzsimons
81,00:33:25,2,Killinkere,Shot from play,Goal,Fiachra Mooney
82,00:33:43,2,Pearse OG,Kickout,Break lost,Fintan O’Connell
83,00:34:05,2,Killinkere,Free conceded,Attacking third,Shane Ryan
84,00:34:48,2,Killinkere,Ball Won,In Contact,Nathan McQuade
85,00:35:17,2,Killinkere,Shot from play,Point,Emmett Fitzsimons
86,00:35:39,2,Pearse OG,Kickout,Break won,Player 10
87,00:36:30,2,Pearse OG,Shot from play,Wide,Player 6
88,00:37:00,2,Killinkere,Kickout,Short won,Luke Crossan
89,00:37:19,2,Pearse OG,Shot from play,Point,Player 14
90,00:38:06,2,Killinkere,Kickout,Short won,Darren Smith
91,00:39:11,2,Killinkere,Shot from play,Point,Ryan Smith
92,00:39:24,2,Pearse OG,Kickout,Won clean,Player 13
93,00:39:41,2,Pearse OG,Shot from play,Goal,Player 11
94,00:40:07,2,Killinkere,Kickout,Lost clean,Player 14
95,00:40:19,2,Pearse OG,Shot from play,Wide,Player 10
96,00:40:45,2,Killinkere,Kickout,Break won,Jason McMahon
97,00:41:17,2,Killinkere,Shot from play,Goal,Darren Smith
98,00:41:33,2,Pearse OG,Kickout,Break lost,Fiachra Mooney
99,00:41:47,2,Killinkere,Possession lost,Handling,Ryan Smith
100,00:41:57,2,Killinkere,Ball Won,In Contact,Shane Ryan
101,00:42:33,2,Pearse OG,Free conceded,Attacking third,Player 10
102,00:43:11,2,Killinkere,Scoreable free,Point,Darren Smith
103,00:43:28,2,Pearse OG,Kickout,Break won,Player 6
104,00:43:48,2,Pearse OG,Shot from play,Short,Player 14
105,00:44:30,2,Killinkere,Possession lost,In Contact,Emmett Fitzsimons
106,00:44:37,2,Killinkere,Free conceded,Attacking third,Ryan Smith
107,00:45:10,2,Pearse OG,Substitution,Substitution,Player 10
108,00:45:30,2,Killinkere,Ball Won,In Contact,Conall Mooney
109,00:46:02,2,Killinkere,Possession lost,In Contact,Kevin McCabe
110,00:46:46,2,Killinkere,Free conceded,Attacking third,Alex Sweeney
111,00:47:23,2,Pearse OG,Scoreable free,Wide,Player 14
112,00:47:43,2,Killinkere,Substitution,Substitution,Emmett Fitzsimons
113,00:47:59,2,Killinkere,Kickout,Break won,Alex Sweeney
114,00:48:50,2,Killinkere,Shot from play,Point,Jason McMahon
115,00:49:04,2,Pearse OG,Kickout,Break won,Player 11
116,00:49:19,2,Killinkere,Free conceded,Attacking third,Phelim Cusack
117,00:50:07,2,Pearse OG,Scoreable free,Point,Player 13
118,00:50:21,2,Killinkere,Kickout,Short won,Fintan O’Connell
119,00:50:43,2,Pearse OG,Free conceded,Attacking third,Player 2
120,00:50:53,2,Killinkere,Shot from play,Wide,Alex Sweeney
121,00:51:05,2,Pearse OG,Kickout,Won clean,Player 6
122,00:51:25,2,Killinkere,Ball Won,In Contact,Jason McMahon
