Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
1,00:00:14,Lavey,Shot from play,1,Short,Player 9,0.7144817,0.2569554,-1,#ed1c24,1,0
2,00:00:27,Lavey,Attacks,1,Shot taken,Player 9,,,0,,1,0
3,00:01:14,Lavey,Scoreable free,1,Wide,Player 11,0.688872,0.8034233,0,#ed1c24,1,0
4,00:01:22,Lavey,Attacks,1,Mark taken,Player 11,,,1,,1,0
5,00:01:26,Killinkere,Kickout,1,Short won,Darren Smith,0.6637195,0.4694707,1,,1,0
6,00:01:35,Lavey,Free conceded,1,Attacking third,,,,0,,1,0
7,00:02:00,Killinkere,Shot from play,1,Point,Fiachra Mooney,0.2333841,0.5089378,1,#ffffff,1,1
8,00:02:05,Killinkere,Attacks,1,Shot taken,Fiachra Mooney,,,0,,1,0
9,00:02:17,Lavey,Kickout,1,Break lost,Keiran Smith,0.3943598,0.3161561,1,,0,0
10,00:02:42,Killinkere,Shot from play,1,Point,Philip Corrigan,0.2297256,0.3260229,1,#ffffff,1,1
11,00:02:48,Killinkere,Attacks,1,Shot taken,Philip Corrigan,,,0,,1,0
12,00:02:59,Lavey,Kickout,1,Break won,Player 12,0.5603659,0.3412025,1,,1,0
13,00:03:16,Killinkere,Turnover,1,In Contact,Fiachra Mooney,,,3,,1,0
14,00:03:29,Lavey,Free conceded,1,Defensive third,Player 4,,,-1,,1,0
15,00:03:50,Killinkere,Scoreable free,1,Point,Ryan Smith,0.1304878,0.5673795,1,#ffffff,1,1
16,00:03:58,Killinkere,Attacks,1,Mark taken,Ryan Smith,,,1,,1,0
17,00:04:10,Lavey,Kickout,1,Won clean,Player 11,0.5480183,0.4725066,1,,1,0
18,00:04:18,Lavey,Free conceded,1,Middle third,Player 5,,,0,,1,0
19,00:04:38,Lavey,Shot from play,1,Point,Player 7,0.78125,0.4527731,1,#ffffff,1,1
20,00:04:43,Lavey,Attacks,1,Shot taken,Player 7,,,0,,1,0
21,00:04:57,Killinkere,Kickout,1,Short won,Cian Fitzsimons,0.7771341,0.08694311,1,,1,0
22,00:05:37,Killinkere,Shot from play,1,Save,Fiachra Mooney,0.09984756,0.5810412,0,#ed1c24,1,0
23,00:05:42,Killinkere,Attacks,1,Shot taken,Fiachra Mooney,,,0,,1,0
24,00:06:12,Killinkere,Scoreable free,1,Point,Jake Norris,0.3060976,0.4876863,1,#ffffff,1,1
25,00:06:19,Killinkere,Attacks,1,Mark taken,Jake Norris,,,1,,1,0
26,00:06:26,Lavey,Kickout,1,Lost clean,Benny McConnell,0.4021342,0.1711903,1,#ed1c24,0,0
27,00:06:35,Killinkere,Possession lost,1,Kick pass,Benny McConnell,,,-1,,1,0
