Event,Time,Period,Team Name,Name,Outcome,Player
1,00:00:11,1,Killinkere,Kickout,Break lost,Player 9
2,00:00:31,1,Templeport,Shot from play,Point,Player 15
3,00:00:34,1,Templeport,Attacks,Shot taken,Player 15
4,00:00:47,1,Killinkere,Kickout,Won clean,Ruairi O Connell
5,00:01:46,1,Templeport,Free conceded,Attacking third,
6,00:02:08,1,Killinkere,Shot from play,Point,Harry Banville
7,00:02:14,1,Killinkere,Attacks,Shot taken,Harry Banville
8,00:02:34,1,Templeport,Kickout,Break won,
9,00:02:59,1,Templeport,Shot from play,Wide,Player 9
10,00:03:09,1,Templeport,Attacks,Shot taken,Player 9
11,00:03:16,1,Killinkere,Kickout,Break won,Mark Farrelly (S)
12,00:03:48,1,Killinkere,Shot from play,Point,Philip Corrigan
13,00:03:54,1,Killinkere,Attacks,Shot taken,Philip Corrigan
14,00:04:11,1,Templeport,Shot from play,Point,
15,00:04:16,1,Templeport,Kickout,Break lost,Ruairi O Connell
16,00:04:43,1,Killinkere,Possession lost,Hand pass,Ruairi O Connell
17,00:05:05,1,Templeport,Free conceded,Attacking third,Player 14
18,00:05:45,1,Killinkere,Shot from play,Wide,Harry McQuade
19,00:05:50,1,Killinkere,Attacks,Shot taken,Harry McQuade
20,00:06:09,1,Templeport,Kickout,Break lost,Harry Banville
21,00:06:29,1,Templeport,Free conceded,Middle third,
22,00:06:37,1,Templeport,Free conceded,Defensive third,Player 3
23,00:07:00,1,Killinkere,Scoreable free,Point,Neill McCabe
24,00:07:10,1,Killinkere,Attacks,Shot taken,Neill McCabe
25,00:07:28,1,Templeport,Kickout,Lost clean,Ruairi O Connell
26,00:07:36,1,Templeport,Free conceded,Middle third,Player 13
27,00:07:55,1,Killinkere,Shot from play,Short,Philip Corrigan
28,00:08:02,1,Killinkere,Attacks,Kick lost,Philip Corrigan
29,00:08:40,1,Templeport,Shot from play,Short,
30,00:08:48,1,Templeport,Attacks,Kick lost,
31,00:08:51,1,Killinkere,Free conceded,Defensive third,Benny McConnell
32,00:09:07,1,Templeport,Scoreable free,Point,Player 14
33,00:09:27,1,Killinkere,Kickout,Won clean,Ryan Smith
34,00:09:44,1,Killinkere,Shot from play,Point,Ciaran Flynn
35,00:09:58,1,Killinkere,Attacks,Shot taken,Ciaran Flynn
36,00:10:13,1,Templeport,Kickout,Break lost,Harry Banville
37,00:10:44,1,Killinkere,Shot from play,Point,Ciaran Flynn
38,00:10:50,1,Killinkere,Attacks,Shot taken,Ciaran Flynn
39,00:11:14,1,Templeport,Kickout,Won clean,Player 12
40,00:11:31,1,Killinkere,Shot from play,Point,
41,00:11:35,1,Templeport,Shot from play,Point,
42,00:11:38,1,Templeport,Attacks,Shot taken,
43,00:11:46,1,Killinkere,Kickout,Won clean,Harry Banville
44,00:12:29,1,Killinkere,Shot from play,Point,Neill McCabe
45,00:12:34,1,Killinkere,Attacks,Shot taken,Neill McCabe
46,00:12:56,1,Templeport,Kickout,Break lost,Darrell Dolan
47,00:13:20,1,Killinkere,Turnover,In Contact,Sean Brady
48,00:13:47,1,Templeport,Free conceded,Defensive third,
49,00:14:28,1,Killinkere,Shot from play,Wide,Phelim Cusack
50,00:14:40,1,Killinkere,Attacks,Shot taken,Phelim Cusack
51,00:14:54,1,Templeport,Kickout,Won clean,
52,00:15:20,1,Templeport,Shot from play,Wide,Player 14
53,00:15:26,1,Templeport,Attacks,Shot taken,Player 14
54,00:15:48,1,Killinkere,Kickout,Lost clean,
55,00:16:19,1,Templeport,Shot from play,2 Points,Player 9
56,00:16:38,1,Killinkere,Kickout,Lost clean,Player 11
57,00:17:02,1,Killinkere,Free conceded,Attacking third,Harry McQuade
58,00:17:14,1,Killinkere,Turnover,In Contact,Cian Fitzsimons
59,00:17:37,1,Templeport,Free conceded,Defensive third,
60,00:17:51,1,Killinkere,Possession lost,Kick pass,Philip Corrigan
61,00:17:56,1,Killinkere,Attacks,Kick lost,Philip Corrigan
62,00:18:08,1,Killinkere,Shot from play,Point,Dara Sharkey
63,00:18:15,1,Killinkere,Attacks,Shot taken,Dara Sharkey
64,00:18:34,1,Templeport,Kickout,Won clean,
65,00:19:00,1,Templeport,Shot from play,Point,
66,00:19:03,1,Templeport,Attacks,Shot taken,
67,00:19:23,1,Killinkere,Kickout,Break lost,
68,00:19:39,1,Killinkere,Turnover,In Contact,Benny McConnell
69,00:19:47,1,Templeport,Attacks,Carry lost,Player 11
70,00:20:14,1,Templeport,Free conceded,Middle third,Player 14
71,00:20:37,1,Killinkere,Shot from play,Point,Neill McCabe
72,00:20:40,1,Killinkere,Attacks,Shot taken,Neill McCabe
73,00:21:00,1,Templeport,Kickout,Lost clean,Harry Banville
74,00:21:33,1,Killinkere,Shot from play,Wide,Mark Farrelly (S)
75,00:21:38,1,Killinkere,Attacks,Shot taken,Mark Farrelly (S)
76,00:21:57,1,Templeport,Kickout,Lost clean,Ruairi O Connell
