Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
1,00:00:10,Killinkere,Turnover,1,In Contact,Philip Corrigan,,,3,,1,0
2,00:00:39,Lacken,Free conceded,1,Defensive third,,,,-1,,1,0
3,00:01:09,Killinkere,Scoreable free,1,Point,Philip Corrigan,0.7565549,0.4694707,1,#ffffff,1,1
4,00:01:13,Killinkere,Attacks,1,Shot taken,Philip Corrigan,,,0,,1,0
5,00:01:26,Lacken,Kickout,1,Break lost,Tom Cooney,0.5974085,0.9005732,1,,0,0
6,00:01:52,Killinkere,Possession lost,1,Kick pass,James Farrelly,,,-1,,1,0
7,00:02:40,Killinkere,Shot from play,1,Goal,Keiran Smith,0.8910061,0.5423331,3,#70B12A,1,3
8,00:02:44,Killinkere,Attacks,1,Shot taken,Keiran Smith,,,0,,1,0
9,00:02:59,Lacken,Kickout,1,Break lost,Gearoid Traynor,0.396189,0.3548642,1,,0,0
10,00:03:31,Killinkere,Possession lost,1,Hand pass,Tom Cooney,,,-1,,1,0
11,00:03:55,Killinkere,Attacks,1,Possession lost,Tom Cooney,,,0,,1,0
12,00:04:13,Lacken,Shot from play,1,Point,Player 3,0.1528963,0.7290429,1,#ffffff,1,1
13,00:04:17,Lacken,Attacks,1,Shot taken,Player 3,,,0,,1,0
14,00:04:29,Killinkere,Kickout,1,Lost clean,Player 5,0.3509146,0.2349449,1,#ed1c24,0,0
15,00:04:45,Lacken,Free conceded,1,Middle third,,,,0,,1,0
16,00:04:54,Killinkere,Shot from play,1,Wide,Tom Cooney,0.8347561,0.4041981,0,#ed1c24,1,0
17,00:04:58,Killinkere,Attacks,1,Shot taken,Tom Cooney,,,0,,1,0
18,00:05:09,Killinkere,Shot from play,1,Goal,Keiran Smith,0.9106708,0.5643436,3,#70B12A,1,3
19,00:05:33,Killinkere,Attacks,1,Shot taken,Keiran Smith,,,0,,1,0
20,00:05:57,Lacken,Kickout,1,Won clean,Player 11,0.6134146,0.407993,1,,1,0
21,00:06:07,Killinkere,Turnover,1,Interception,James Farrelly,,,2,,1,0
22,00:06:14,Killinkere,Free conceded,1,Defensive third,James Farrelly,,,-1,,1,0
23,00:06:39,Lacken,Scoreable free,1,Wide,,0.2891768,0.2508835,0,#ed1c24,1,0
24,00:06:45,Lacken,Attacks,1,Shot taken,,,,0,,1,0
25,00:06:51,Killinkere,Kickout,1,Break won,Ruairi O Connell,0.6170732,0.456568,1,,1,0
26,00:07:09,Killinkere,Possession lost,1,Kick pass,Ruairi O Connell,,,-1,,1,0
27,00:07:29,Lacken,Shot from play,1,Save,Player 9,0.1071646,0.5620667,0,#ed1c24,1,0
28,00:08:08,Lacken,Shot from play,1,Point,Player 11,0.2196646,0.5089378,1,#ffffff,1,1
29,00:08:12,Lacken,Attacks,1,Shot taken,Player 11,,,0,,1,0
30,00:08:31,Killinkere,Kickout,1,Won clean,Ruairi O Connell,0.3778963,0.866419,1,,1,0
31,00:08:45,Killinkere,Shot from play,1,Point,James Farrelly,0.8233232,0.6463138,1,#ffffff,1,1
32,00:08:48,Killinkere,Attacks,1,Shot taken,James Farrelly,,,0,,1,0
33,00:09:03,Lacken,Kickout,1,Won clean,,0.5507622,0.2174882,1,,1,0
34,00:09:17,Lacken,Shot from play,1,Save,Player 9,0.1689024,0.4034391,0,#ed1c24,1,0
35,00:09:25,Lacken,Attacks,1,Shot taken,Player 9,,,0,,1,0
36,00:09:48,Killinkere,Possession lost,1,Hand pass,Tom Cooney,,,-1,,1,0
37,00:09:53,Killinkere,Attacks,1,Shot taken,Tom Cooney,,,0,,1,0
38,00:10:39,Lacken,Shot from play,1,Wide,Player 8,0.2626524,0.7381508,0,#ed1c24,1,0
39,00:10:44,Lacken,Attacks,1,Shot taken,Player 8,,,0,,1,0
40,00:10:54,Killinkere,Kickout,1,Won clean,Gearoid Traynor,0.4108232,0.8299878,1,,1,0
41,00:11:12,Killinkere,Shot from play,1,Short,Ruairi O Connell,0.8242378,0.6789501,-1,#ed1c24,1,0
42,00:11:18,Killinkere,Attacks,1,Shot taken,Ruairi O Connell,,,0,,1,0
43,00:11:49,Killinkere,Turnover,1,In Contact,Harry Banville,,,3,,1,0
44,00:12:38,Lacken,Scoreable free,1,Point,Player 10,0.2109756,0.5180456,1,#ffffff,1,1
45,00:12:42,Lacken,Attacks,1,Shot taken,Player 10,,,0,,1,0
46,00:12:53,Killinkere,Kickout,1,Lost clean,Player 7,0.3714939,0.729802,1,#ed1c24,0,0
47,00:13:27,Killinkere,Free conceded,1,Penalty,Lee Philingham,,,-2,,1,0
48,00:14:01,Lacken,Scoreable free,1,Save,Player 10,0.08109756,0.502866,0,#ed1c24,1,0
49,00:14:49,Killinkere,Shot from play,1,Save,Gearoid Traynor,0.9294207,0.6076056,0,#ed1c24,1,0
50,00:15:01,Killinkere,Attacks,1,Shot taken,Gearoid Traynor,,,0,,1,0
51,00:15:12,Killinkere,Turnover,1,In Contact,James Farrelly,,,3,,1,0
52,00:15:33,Killinkere,Free conceded,1,Middle third,Tom Cooney,,,0,,1,0
53,00:15:46,Lacken,Shot from play,1,Point,,0.208689,0.4383524,1,#ffffff,1,1
54,00:15:54,Lacken,Attacks,1,Shot taken,,,,0,,1,0
55,00:16:14,Killinkere,Kickout,1,Won clean,James Farrelly,0.36875,0.7108274,1,,1,0
56,00:17:23,Lacken,Free conceded,1,Middle third,,,,0,,1,0
57,00:17:32,Lacken,Shot from play,1,Point,,0.1958842,0.5043839,1,#ffffff,1,1
58,00:17:35,Lacken,Attacks,1,Shot taken,,,,0,,1,0
59,00:17:51,Killinkere,Kickout,1,Won clean,James Farrelly,0.4044207,0.1673953,1,,1,0
60,00:18:06,Killinkere,Possession lost,1,Kick pass,David Ryan,,,-1,,1,0
61,00:18:44,Lacken,Shot from play,1,Point,,0.208689,0.5051429,1,#ffffff,1,1
62,00:18:48,Lacken,Attacks,1,Shot taken,,,,0,,1,0
63,00:19:13,Killinkere,Kickout,1,Won clean,Keiran Smith,0.3815549,0.1081946,1,,1,0
64,00:19:22,Killinkere,Possession lost,1,Kick pass,Keiran Smith,,,-1,,1,0
65,00:19:58,Killinkere,Free conceded,1,Defensive third,Cian Fitzsimons,,,-1,,1,0
