Event,Time,Period,Team Name,Name,Outcome,Player
1,00:00:08,1,Aughadrumsee,Ball Won,In Contact,Player 10
2,00:00:19,1,Killinkere,Turnover,In Contact,Mark Farrelly (S)
3,00:00:33,1,Aughadrumsee,Free conceded,Attacking third,
4,00:00:51,1,Killinkere,Attacks,Carry lost,Keiran Smith
5,00:00:57,1,Killinkere,Possession lost,In Contact,Keiran Smith
6,00:01:36,1,Killinkere,Free conceded,Middle third,Philip Corrigan
7,00:02:02,1,Aughadrumsee,Shot from play,Short,Player 9
8,00:02:31,1,Killinkere,Attacks,Shot taken,Ryan Smith
9,00:02:32,1,Killinkere,Shot from play,Point,Ryan Smith
10,00:03:03,1,Aughadrumsee,Kickout,Break won,Player 10
11,00:03:44,1,Aughadrumsee,Shot from play,Point,Player 11
12,00:04:11,1,Killinkere,Kickout,Short won,Keiran Smith
13,00:04:51,1,Killinkere,Possession lost,Kick pass,Ryan Smith
14,00:04:51,1,Killinkere,Attacks,Kick lost,Ryan Smith
15,00:05:37,1,Killinkere,Turnover,Interception,Darrell Dolan
16,00:05:51,1,Killinkere,Free conceded,Defensive third,James Farrelly
17,00:06:28,1,Aughadrumsee,Scoreable free,Point,Player 11
18,00:06:47,1,Killinkere,Kickout,Short won,James Farrelly
19,00:07:10,1,Killinkere,Attacks,Shot taken,Fiachra Mooney
20,00:07:10,1,Killinkere,Shot from play,Point,Fiachra Mooney
21,00:07:44,1,Aughadrumsee,Kickout,Break won,
22,00:08:20,1,Aughadrumsee,Shot from play,Point,Player 11
23,00:08:36,1,Killinkere,Kickout,Short won,Darrell Dolan
24,00:08:55,1,Killinkere,Attacks,Shot taken,Fiachra Mooney
25,00:08:57,1,Killinkere,Shot from play,Goal,Evan Markey
26,00:09:26,1,Aughadrumsee,Kickout,Break lost,Cian Fitzsimons
27,00:09:46,1,Killinkere,Attacks,Carry lost,James Farrelly
28,00:10:17,1,Killinkere,Possession lost,Handling,Neill McCabe
29,00:11:23,1,Killinkere,Turnover,In Contact,Sean Brady
30,00:11:38,1,Killinkere,Possession lost,Handling,Dara Sharkey
31,00:12:01,1,Killinkere,Turnover,Interception,Luke Crossan
32,00:12:22,1,Killinkere,Attacks,Kick lost,Fiachra Mooney
33,00:12:56,1,Aughadrumsee,Shot from play,Wide,Player 11
34,00:13:11,1,Killinkere,Kickout,Won clean,Neill McCabe
35,00:13:19,1,Killinkere,Attacks,Kick lost,Neill McCabe
36,00:13:20,1,Killinkere,Possession lost,Kick pass,Neill McCabe
37,00:13:26,1,Aughadrumsee,Free conceded,Defensive third,
38,00:14:10,1,Killinkere,Scoreable free,Goal,Fiachra Mooney
39,00:14:41,1,Aughadrumsee,Kickout,Break lost,Cian Fitzsimons
40,00:16:07,1,Killinkere,Attacks,Shot taken,Fiachra Mooney
41,00:16:09,1,Killinkere,Shot from play,Wide,Fiachra Mooney
42,00:16:36,1,Aughadrumsee,Kickout,Break lost,Neill McCabe
43,00:16:37,1,Killinkere,Possession lost,Hand pass,Neill McCabe
44,00:17:01,1,Aughadrumsee,Shot from play,Point,Player 11
45,00:17:19,1,Killinkere,Kickout,Won clean,Luke Crossan
46,00:17:48,1,Killinkere,Attacks,Carry lost,Evan Markey
47,00:18:15,1,Killinkere,Free conceded,Defensive third,James Farrelly
48,00:18:48,1,Aughadrumsee,Scoreable free,Wide,
49,00:19:08,1,Killinkere,Kickout,Break won,Philip Corrigan
50,00:19:17,1,Killinkere,Possession lost,Kick pass,Philip Corrigan
51,00:19:44,1,Killinkere,Turnover,In Contact,Fiachra Mooney
52,00:19:58,1,Killinkere,Attacks,Shot taken,Fiachra Mooney
53,00:19:59,1,Killinkere,Shot from play,2 Points,Fiachra Mooney
54,00:20:30,1,Aughadrumsee,Kickout,Won clean,Player 6
55,00:21:06,1,Aughadrumsee,Shot from play,Point,
56,00:21:21,1,Killinkere,Kickout,Won clean,Keiran Smith
57,00:21:32,1,Killinkere,Possession lost,Hand pass,Sean Brady
58,00:21:35,1,Killinkere,Attacks,Possession lost,Sean Brady
59,00:22:57,1,Aughadrumsee,Shot from play,Point,Player 10
60,00:23:26,1,Killinkere,Kickout,Break lost,Player 10
61,00:23:36,1,Killinkere,Turnover,In Contact,Ryan Smith
62,00:23:50,1,Killinkere,Attacks,Shot taken,Neill McCabe
63,00:23:51,1,Killinkere,Shot from play,Short,Neill McCabe
64,00:24:14,1,Killinkere,Turnover,In Contact,Philip Corrigan
65,00:24:18,1,Killinkere,Possession lost,In Contact,Ryan Smith
66,00:25:20,1,Killinkere,Free conceded,Middle third,Philip Corrigan
67,00:25:59,1,Aughadrumsee,Scoreable free,Wide,Player 11
68,00:26:21,1,Killinkere,Kickout,Lost clean,Player 3
69,00:26:46,1,Aughadrumsee,Shot from play,Wide,
70,00:27:13,1,Killinkere,Kickout,Won clean,James Farrelly
71,00:27:29,1,Killinkere,Attacks,Shot taken,Fiachra Mooney
72,00:27:30,1,Killinkere,Shot from play,Point,Fiachra Mooney
73,00:27:57,1,Aughadrumsee,Kickout,Lost clean,Keiran Smith
74,00:28:06,1,Killinkere,Shot from play,Wide,Neill McCabe
75,00:28:08,1,Killinkere,Attacks,Shot taken,Neill McCabe
76,00:28:42,1,Aughadrumsee,Kickout,Break lost,Philip Corrigan
77,00:28:54,1,Killinkere,Possession lost,Kick pass,Luke Crossan
78,00:29:27,1,Aughadrumsee,Shot from play,Point,Player 11
79,00:29:43,1,Killinkere,Kickout,Won clean,Ryan Smith
80,00:29:49,1,Killinkere,Possession lost,Hand pass,Darrell Dolan
81,00:30:08,1,Killinkere,Free conceded,Middle third,Philip Corrigan
82,00:30:30,1,Aughadrumsee,Shot from play,Short,Player 11
83,00:30:04,2,Killinkere,Other,Throw Up Won,James Farrelly
84,00:30:46,2,Killinkere,Possession lost,Kick pass,Emmett Fitzsimons
85,00:30:47,2,Killinkere,Attacks,Kick lost,Emmett Fitzsimons
86,00:31:06,2,Aughadrumsee,Shot from play,Short,Player 12
87,00:31:11,2,Killinkere,Free conceded,Defensive third,Jake Norris
88,00:31:45,2,Aughadrumsee,Scoreable free,Point,Player 11
89,00:32:02,2,Killinkere,Kickout,Won clean,Keiran Smith
90,00:33:15,2,Killinkere,Substitution,Substitution,Enda Traynor
91,00:34:41,2,Killinkere,Possession lost,Kick pass,Neill McCabe
92,00:34:42,2,Killinkere,Attacks,Kick lost,Neill McCabe
93,00:34:50,2,Killinkere,Turnover,In Contact,Alex Sweeney
94,00:35:06,2,Killinkere,Shot from play,Short,Fiachra Mooney
95,00:35:25,2,Killinkere,Turnover,In Contact,Evan Markey
96,00:35:35,2,Killinkere,Shot from play,Wide,Philip Corrigan
97,00:36:00,2,Aughadrumsee,Kickout,Break won,
98,00:36:30,2,Aughadrumsee,Shot from play,Wide,Player 12
99,00:37:16,2,Killinkere,Kickout,Won clean,Keiran Smith
