Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
1,00:00:33,Killinkere,Turnover,1,In Contact,Shane Ryan,,,3,,1,0
2,00:01:32,Killinkere,Shot from play,1,2 Points,Conall Mooney,0.2493902,0.7556074,2,#f7941d,1,2
3,00:01:37,Killinkere,Attacks,1,Shot taken,Conall Mooney,,,0,,1,0
4,00:01:55,Belturbet,Kickout,1,Lost clean,Kevin McCabe,0.3710366,0.8406135,1,#ed1c24,0,0
5,00:02:40,Killinkere,Attacks,1,Shot taken,Ciaran Flynn,,,0,,1,0
6,00:02:58,Killinkere,Shot from play,1,45,Ciaran Flynn,0.1085366,0.5059019,0,#ed1c24,1,0
7,00:03:08,Killinkere,Scoreable free,1,Short,Jake Norris,0.302439,0.683504,-1,#ed1c24,1,0
8,00:03:58,Belturbet,Shot from play,1,Short,,0.8237805,0.2842788,-1,#ed1c24,1,0
9,00:04:02,Belturbet,Attacks,1,Shot taken,,,,0,,1,0
10,00:04:29,Killinkere,Possession lost,1,Kick pass,Kevin McCabe,,,-1,,1,0
11,00:04:39,Killinkere,Attacks,1,Kick lost,Kevin McCabe,,,0,,1,0
12,00:05:12,Belturbet,Shot from play,1,Point,Player 6,0.85625,0.5878721,1,#ffffff,1,1
13,00:05:31,Belturbet,Attacks,1,Shot taken,Player 6,,,0,,1,0
14,00:05:35,Killinkere,Kickout,1,Short won,,0.7510671,0.2531604,1,,1,0
15,00:06:18,Belturbet,Free conceded,1,Penalty,Player 2,,,-2,,1,0
16,00:07:01,Belturbet,Substitution,1,Player 15,Player 9,,,0,,YES,0
17,00:07:11,Belturbet,Substitution,1,Player 14,Player 15,,,0,,YES,0
18,00:07:15,Belturbet,Substitution,1,Player 15,Player 9,,,0,,YES,0
19,00:07:18,Belturbet,Substitution,1,Player 13,Player 8,,,0,,YES,0
20,00:07:23,Belturbet,Substitution,1,Player 13,Player 8,,,0,,YES,0
21,00:07:28,Belturbet,Substitution,1,Player 12,Player 13,,,0,,YES,0
22,00:07:39,Killinkere,Scoreable free,1,Save,Ciaran Flynn,0.06463414,0.5059019,0,#ed1c24,1,0
23,00:07:49,Killinkere,Shot from play,1,Goal,Kevin McCabe,0.03490854,0.5559948,3,#70B12A,1,3
24,00:07:54,Killinkere,Attacks,1,Shot taken,Kevin McCabe,,,0,,1,0
25,00:08:01,Belturbet,Kickout,1,Lost clean,Benny McConnell,0.4304878,0.1894059,1,#ed1c24,0,0
26,00:08:15,Belturbet,Substitution,1,Player 11,Player 7,,,0,,YES,0
27,00:08:22,Belturbet,Substitution,1,Player 10,Player 6,,,0,,YES,0
28,00:08:26,Belturbet,Substitution,1,Player 10,Player 6,,,0,,YES,0
29,00:08:29,Killinkere,Shot from play,1,Point,Phelim Cusack,0.1675305,0.3708028,1,#ffffff,1,1
30,00:08:35,Killinkere,Attacks,1,Shot taken,Phelim Cusack,,,0,,1,0
31,00:08:49,Belturbet,Kickout,1,Break won,Player 5,0.2292683,0.9612918,1,,1,0
32,00:09:17,Killinkere,Turnover,1,In Contact,Benny McConnell,,,3,,1,0
33,00:09:34,Belturbet,Substitution,1,Player 9,Player 10,,,0,,YES,0
34,00:09:38,Belturbet,Substitution,1,Player 8,Player 5,,,0,,YES,0
35,00:09:42,Belturbet,Substitution,1,Player 8,Player 5,,,0,,YES,0
36,00:09:48,Belturbet,Free conceded,1,Middle third,,,,0,,1,0
37,00:10:04,Belturbet,Substitution,1,Player 7,Player 8,,,0,,YES,0
38,00:10:07,Belturbet,Substitution,1,Player 6,Player 4,,,0,,YES,0
39,00:10:11,Belturbet,Substitution,1,Player 6,Player 4,,,0,,YES,0
40,00:10:44,Belturbet,Substitution,1,Player 25,Player 6,,,0,,YES,0
41,00:10:55,Belturbet,Substitution,1,Player 24,Player 3,,,0,,YES,0
42,00:10:58,Killinkere,Turnover,1,In Contact,Shane Ryan,,,3,,1,0
43,00:11:11,Killinkere,Possession lost,1,Handling,Conall Mooney,,,-1,,1,0
44,00:12:01,Killinkere,Free conceded,1,Defensive third,Nathan McQuade,,,-1,,1,0
45,00:12:12,Belturbet,Substitution,1,Player 23,Player 2,,,0,,YES,0
46,00:12:20,Belturbet,Substitution,1,Player 3,Player 2,,,0,,YES,0
