Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
1,00:00:12,Killinkere,Possession lost,1,In Contact,Cian McGovern,,,-1,,1,0
2,00:00:36,Laragh,Shot from play,1,Short,Player 14,0.8480183,0.7320789,-1,#ed1c24,1,0
3,00:00:42,Laragh,Attacks,1,Shot taken,Player 14,,,0,,1,0
4,00:00:51,Killinkere,Possession lost,1,Kick pass,Luke Crossan,,,-1,,1,0
5,00:00:55,Killinkere,Attacks,1,Kick lost,Luke Crossan,,,0,,1,0
6,00:01:17,Killinkere,Free conceded,1,Middle third,Alex Sweeney,,,0,,1,0
7,00:01:24,Killinkere,Free conceded,1,Defensive third,Nathan McQuade,,,-1,,1,0
8,00:01:51,Laragh,Scoreable free,1,Point,Player 15,0.789939,0.6599755,1,#ffffff,1,1
9,00:01:56,Laragh,Attacks,1,Mark taken,Player 14,,,1,,1,0
10,00:02:06,Killinkere,Kickout,1,Won clean,Conall Mooney,0.3618903,0.9225837,1,,1,0
11,00:02:26,Killinkere,Possession lost,1,Hand pass,Ciaran Flynn,,,-1,,1,0
12,00:02:29,Killinkere,Attacks,1,Possession lost,Ciaran Flynn,,,0,,1,0
13,00:02:42,Laragh,Free conceded,1,Attacking third,Player 13,,,0,,1,0
14,00:03:11,Killinkere,Shot from play,1,Goal,Emmett Fitzsimons,0.07881097,0.6250623,3,#70B12A,1,3
15,00:03:16,Killinkere,Attacks,1,Shot taken,Emmett Fitzsimons,,,0,,1,0
16,00:03:32,Laragh,Kickout,1,Break lost,Ciaran Flynn,0.4181402,0.588631,1,,0,0
17,00:03:44,Killinkere,Free conceded,1,Middle third,Alex Sweeney,,,0,,1,0
18,00:03:51,Killinkere,Turnover,1,Interception,Nathan McQuade,,,2,,1,0
19,00:04:16,Killinkere,Possession lost,1,Hand pass,James Farrelly,,,-1,,1,0
20,00:04:20,Killinkere,Attacks,1,Possession lost,James Farrelly,,,0,,1,0
21,00:05:01,Laragh,Shot from play,1,Point,Player 13,0.8452744,0.3146381,1,#ffffff,1,1
22,00:05:14,Laragh,Attacks,1,Shot taken,Player 13,,,0,,1,0
23,00:05:20,Killinkere,Kickout,1,Lost clean,,0.3673781,0.1522157,1,#ed1c24,0,0
24,00:05:36,Killinkere,Turnover,1,Interception,Nathan McQuade,,,2,,1,0
25,00:05:38,Laragh,Attacks,1,Kick lost,Player 15,,,0,,1,0
26,00:06:03,Killinkere,Shot from play,1,2 Points,Cian McGovern,0.2009146,0.7829308,2,#f7941d,1,2
27,00:06:11,Killinkere,Attacks,1,Shot taken,Cian McGovern,,,0,,1,0
28,00:06:24,Laragh,Kickout,1,Break won,Player 10,0.5612805,0.4406293,1,,1,0
29,00:06:43,Laragh,Shot from play,1,Blocked,Player 14,0.8233232,0.4034391,0,#ed1c24,1,0
30,00:06:49,Killinkere,Turnover,1,In Contact,Nathan McQuade,,,3,,1,0
31,00:06:55,Laragh,Free conceded,1,Middle third,Player 11,,,0,,1,0
32,00:07:32,Killinkere,Shot from play,1,Wide,Alex Sweeney,0.2196646,0.3480334,0,#ed1c24,1,0
33,00:07:37,Laragh,Kickout,1,Won clean,Player 2,0.3362805,0.4527731,1,,1,0
34,00:09:00,Laragh,Shot from play,1,Point,Player 15,0.7954268,0.6349291,1,#ffffff,1,1
35,00:09:04,Laragh,Attacks,1,Shot taken,Player 15,,,0,,1,0
36,00:09:19,Killinkere,Kickout,1,Won clean,Cian McGovern,0.3865854,0.6030517,1,,1,0
37,00:09:38,Killinkere,Shot from play,1,Wide,Emmett Fitzsimons,0.1181402,0.3548642,0,#ed1c24,1,0
38,00:09:42,Killinkere,Attacks,1,Shot taken,Emmett Fitzsimons,,,0,,1,0
39,00:10:07,Laragh,Kickout,1,Break lost,Kevin McCabe,0.3623476,0.9362454,1,,0,0
40,00:10:19,Killinkere,Shot from play,1,Point,Ciaran Flynn,0.2123476,0.6554216,1,#ffffff,1,1
41,00:10:23,Killinkere,Attacks,1,Shot taken,Ciaran Flynn,,,0,,1,0
42,00:10:46,Laragh,Kickout,1,Lost clean,Luke Crossan,0.3929878,0.4573269,1,#ed1c24,0,0
43,00:10:59,Killinkere,Possession lost,1,Hand pass,Cian McGovern,,,-1,,1,0
44,00:11:05,Killinkere,Attacks,1,Possession lost,Cian McGovern,,,0,,1,0
45,00:11:20,Laragh,Shot from play,1,Point,Player 13,0.8356707,0.7123454,1,#ffffff,1,1
46,00:11:28,Laragh,Attacks,1,Shot taken,Player 13,,,0,,1,0
47,00:12:02,Killinkere,Kickout,1,Won clean,Kevin McCabe,0.4007622,0.9195478,1,,1,0
48,00:12:29,Killinkere,Shot from play,1,Wide,Cian McGovern,0.2987805,0.5370202,0,#ed1c24,1,0
49,00:12:33,Killinkere,Attacks,1,Shot taken,Cian McGovern,,,0,,1,0
50,00:12:48,Laragh,Kickout,1,Short won,Player 2,0.3175305,0.5195636,1,,1,0
51,00:13:32,Killinkere,Turnover,1,Interception,Ciaran Flynn,,,2,,1,0
52,00:13:36,Laragh,Attacks,1,Possession lost,,,,0,,1,0
53,00:14:00,Killinkere,Shot from play,1,Point,Conall Mooney,0.2278963,0.366249,1,#ffffff,1,1
54,00:14:06,Killinkere,Attacks,1,Shot taken,Conall Mooney,,,0,,1,0
55,00:14:19,Laragh,Kickout,1,Lost clean,Luke Crossan,0.5827744,0.08922006,1,#ed1c24,0,0
56,00:14:45,Killinkere,Shot from play,1,Point,Phelim Cusack,0.06280488,0.6432779,1,#ffffff,1,1
57,00:14:52,Killinkere,Attacks,1,Shot taken,Phelim Cusack,,,0,,1,0
58,00:15:13,Laragh,Kickout,1,Won clean,Player 8,0.4506097,0.4732656,1,,1,0
59,00:15:26,Killinkere,Free conceded,1,Middle third,Cian McGovern,,,0,,1,0
60,00:17:11,Killinkere,Free conceded,1,Defensive third,Conall Mooney,,,-1,,1,0
61,00:17:48,Laragh,Scoreable free,1,Wide,Player 15,0.7519817,0.4694707,0,#ed1c24,1,0
62,00:18:00,Laragh,Attacks,1,Mark taken,Player 14,,,1,,1,0
63,00:18:30,Laragh,Shot from play,1,Wide,Player 8,0.779878,0.5233585,0,#ed1c24,1,0
64,00:18:33,Laragh,Attacks,1,Shot taken,Player 8,,,0,,1,0
65,00:18:46,Killinkere,Kickout,1,Short won,Benny McConnell,0.789939,0.8929834,1,,1,0
66,00:18:55,Killinkere,Possession lost,1,In Contact,Phelim Cusack,,,-1,,1,0
67,00:19:18,Laragh,Shot from play,1,Wide,Player 10,0.7583842,0.4763016,0,#ed1c24,1,0
68,00:19:23,Laragh,Attacks,1,Shot taken,Player 10,,,0,,1,0
69,00:19:33,Killinkere,Kickout,1,Break won,Kevin McCabe,0.3778963,0.8110132,1,,1,0
70,00:19:45,Laragh,Free conceded,1,Middle third,,,,0,,1,0
71,00:19:57,Killinkere,Shot from play,1,Point,Kevin McCabe,0.1272866,0.6205084,1,#ffffff,1,1
72,00:20:00,Killinkere,Attacks,1,Shot taken,Kevin McCabe,,,0,,1,0
73,00:20:16,Laragh,Kickout,1,Break lost,Alex Sweeney,0.4272866,0.4618809,1,,0,0
74,00:20:30,Killinkere,Possession lost,1,Hand pass,Emmett Fitzsimons,,,-1,,1,0
75,00:20:37,Killinkere,Attacks,1,Possession lost,Emmett Fitzsimons,,,0,,1,0
76,00:21:21,Killinkere,Turnover,1,In Contact,Alex Sweeney,,,3,,1,0
77,00:22:10,Laragh,Shot from play,1,Short,Player 7,0.8182927,0.3222279,-1,#ed1c24,1,0
78,00:22:15,Laragh,Attacks,1,Shot taken,Player 7,,,0,,1,0
79,00:22:36,Killinkere,Free conceded,1,Middle third,Nathan McQuade,,,0,,1,0
80,00:23:18,Laragh,Free conceded,1,Middle third,Player 7,,,0,,1,0
