Event,Time,Team Name,Name,Game Period,Outcome,Player,Location X,Location Y,PSR,Colormark,Positive,Score
1,00:00:15,Killinkere,Shot from play,1,Point,Philip Corrigan,0.8484756,0.7419457,1,#ffffff,1,1
2,00:00:27,Killinkere,Attacks,1,Shot taken,Philip Corrigan,,,0,,1,0
3,00:00:35,Ballyhaise,Kickout,1,Won clean,Player 7,0.6573171,0.4854093,1,,1,0
4,00:00:47,Ballyhaise,Shot from play,1,Point,,0.1647866,0.730561,1,#ffffff,1,1
5,00:00:58,Killinkere,Kickout,1,Won clean,Philip Corrigan,0.4995427,0.8504803,1,,1,0
6,00:01:19,Killinkere,Shot from play,1,Point,Keiran Smith,0.8375,0.4929992,1,#ffffff,1,1
7,00:01:23,Killinkere,Attacks,1,Shot taken,Keiran Smith,,,0,,1,0
8,00:01:47,Ballyhaise,Kickout,1,Break won,,0.6783537,0.1226153,1,,1,0
9,00:02:03,Killinkere,Turnover,1,Interception,Ruairi O Connell,,,2,,1,0
10,00:02:16,Killinkere,Shot from play,1,45,Philip Corrigan,0.9051829,0.6470728,0,#ed1c24,1,0
11,00:03:08,Killinkere,Scoreable free,1,Point,Lee Philingham,0.6907012,0.5734514,1,#ffffff,1,1
12,00:03:15,Killinkere,Attacks,1,Mark taken,Lee Philingham,,,1,,1,0
13,00:03:30,Ballyhaise,Kickout,1,Break lost,Ryan Smith,0.6216463,0.2326679,1,,0,0
14,00:04:25,Killinkere,Shot from play,1,Wide,Ben Philingham,0.7940549,0.4186188,0,#ed1c24,1,0
15,00:04:28,Killinkere,Attacks,1,Shot taken,Ben Philingham,,,0,,1,0
16,00:04:46,Ballyhaise,Kickout,1,Break won,,0.5535061,0.4269676,1,,1,0
17,00:05:00,Killinkere,Turnover,1,Interception,Harry Banville,,,2,,1,0
18,00:05:19,Killinkere,Possession lost,1,Handling,Philip Corrigan,,,-1,,1,0
19,00:06:11,Killinkere,Turnover,1,In Contact,Ruairi O Connell,,,3,,1,0
20,00:06:35,Killinkere,Possession lost,1,Handling,Harry McQuade,,,-1,,1,0
21,00:06:52,Ballyhaise,Shot from play,1,Short,,0.2919207,0.2501245,-1,#ed1c24,1,0
22,00:06:57,Ballyhaise,Attacks,1,Kick lost,,,,0,,1,0
23,00:07:15,Killinkere,Possession lost,1,Kick pass,David Ryan,,,-1,,1,0
24,00:07:36,Killinkere,Turnover,1,In Contact,Sean Brady,,,3,,1,0
25,00:07:51,Ballyhaise,Shot from play,1,Point,,0.05731707,0.6129186,1,#ffffff,1,1
26,00:07:54,Ballyhaise,Attacks,1,Shot taken,,,,0,,1,0
27,00:08:08,Killinkere,Kickout,1,Break lost,,0.6403964,0.3123612,1,,0,0
28,00:08:29,Ballyhaise,Shot from play,1,Short,,0.2635671,0.3495513,-1,#ed1c24,1,0
29,00:08:34,Ballyhaise,Attacks,1,Shot taken,,,,0,,1,0
30,00:08:52,Killinkere,Shot from play,1,Goal,Tom Cooney,0.9152439,0.5210816,3,#70B12A,1,3
31,00:08:56,Killinkere,Attacks,1,Shot taken,Tom Cooney,,,0,,1,0
32,00:09:17,Ballyhaise,Kickout,1,Lost clean,Harry McQuade,0.595122,0.3108432,1,#ed1c24,0,0
33,00:09:39,Killinkere,Shot from play,1,Wide,Tom Cooney,0.8553354,0.546887,0,#ed1c24,1,0
34,00:09:44,Killinkere,Attacks,1,Shot taken,Tom Cooney,,,0,,1,0
35,00:09:52,Ballyhaise,Kickout,1,Short won,,0.7670732,0.1157845,1,,1,0
36,00:10:03,Killinkere,Free conceded,1,Attacking third,Ryan Smith,,,0,,1,0
37,00:10:17,Killinkere,Turnover,1,In Contact,Cian Fitzsimons,,,3,,1,0
38,00:10:43,Killinkere,Shot from play,1,Goal,Harry McQuade,0.9138719,0.4800965,3,#70B12A,1,3
39,00:10:48,Killinkere,Attacks,1,Shot taken,Harry McQuade,,,0,,1,0
40,00:11:07,Ballyhaise,Kickout,1,Won clean,,0.6797256,0.9278966,1,,1,0
41,00:11:42,Killinkere,Kickout,1,Break lost,,0.5434451,0.49983,1,,0,0
42,00:12:45,Killinkere,Shot from play,1,Goal,,,,3,#70B12A,1,3
43,00:12:48,Ballyhaise,Shot from play,1,Goal,,0.05,0.4482192,3,#70B12A,1,3
44,00:12:50,Ballyhaise,Attacks,1,Shot taken,,,,0,,1,0
45,00:13:04,Killinkere,Kickout,1,Sideline ball,,0.5800305,0.9187888,0,,0,0
46,00:13:55,Killinkere,Shot from play,1,Wide,Philip Corrigan,0.8525915,0.6045697,0,#ed1c24,1,0
47,00:14:01,Killinkere,Attacks,1,Shot taken,Philip Corrigan,,,0,,1,0
48,00:14:25,Ballyhaise,Kickout,1,Lost clean,Keiran Smith,0.658689,0.7085504,1,#ed1c24,0,0
49,00:14:38,Killinkere,Shot from play,1,Goal,Neill McCabe,0.9143293,0.3958493,3,#70B12A,1,3
50,00:14:42,Killinkere,Attacks,1,Shot taken,Neill McCabe,,,0,,1,0
51,00:15:07,Ballyhaise,Kickout,1,Sideline ball,,0.6573171,0.009526822,0,,0,0
52,00:15:35,Killinkere,Shot from play,1,Point,Harry McQuade,0.8695122,0.4649168,1,#ffffff,1,1
53,00:15:45,Killinkere,Attacks,1,Shot taken,Harry McQuade,,,0,,1,0
54,00:15:56,Ballyhaise,Kickout,1,Won clean,,0.4949695,0.5104558,1,,1,0
55,00:16:16,Killinkere,Turnover,1,Interception,David Ryan,,,2,,1,0
56,00:16:46,Killinkere,Shot from play,1,Wide,Ben Philingham,0.7282012,0.273653,0,#ed1c24,1,0
57,00:16:49,Killinkere,Attacks,1,Shot taken,Ben Philingham,,,0,,1,0
58,00:17:12,Ballyhaise,Kickout,1,Sideline ball,,0.6358232,0.9612918,0,,0,0
59,00:17:41,Killinkere,Shot from play,1,Goal,,0.892378,0.5263944,3,#70B12A,1,3
60,00:17:45,Killinkere,Attacks,1,Shot taken,Philip Corrigan,,,0,,1,0
61,00:18:04,Ballyhaise,Kickout,1,Lost clean,Mark Farrelly (S),0.546189,0.4876863,1,#ed1c24,0,0
62,00:18:21,Killinkere,Shot from play,1,Short,Neill McCabe,0.9006097,0.635688,-1,#ed1c24,1,0
63,00:18:27,Killinkere,Attacks,1,Shot taken,Neill McCabe,,,0,,1,0
64,00:18:54,Ballyhaise,Shot from play,1,Blocked,,0.2553354,0.4823734,0,#ed1c24,1,0
65,00:18:58,Ballyhaise,Attacks,1,Possession lost,,,,0,,1,0
66,00:19:20,Killinkere,Possession lost,1,Kick pass,Keiran Smith,,,-1,,1,0
67,00:19:38,Ballyhaise,Kickout,1,Lost clean,Keiran Smith,0.6175305,0.8223979,1,#ed1c24,0,0
68,00:19:53,Killinkere,Shot from play,1,Point,Neill McCabe,0.8644817,0.5036249,1,#ffffff,1,1
69,00:19:55,Killinkere,Attacks,1,Shot taken,Neill McCabe,,,0,,1,0
70,00:20:16,Ballyhaise,Kickout,1,Short won,Player 2,0.6925305,0.2835198,1,,1,0
71,00:20:41,Ballyhaise,Shot from play,1,Point,,0.2192073,0.3419615,1,#ffffff,1,1
72,00:20:43,Ballyhaise,Attacks,1,Shot taken,,,,0,,1,0
73,00:21:01,Killinkere,Kickout,1,Won clean,Ruairi O Connell,0.4478658,0.6076056,1,,1,0
74,00:21:10,Killinkere,Shot from play,1,Point,Cian Fitzsimons,0.74375,0.5134917,1,#ffffff,1,1
75,00:21:29,Ballyhaise,Kickout,1,Won clean,,0.6161585,0.4649168,1,,1,0
76,00:22:00,Ballyhaise,Shot from play,1,Wide,,0.09481707,0.6539036,0,#ed1c24,1,0
77,00:22:06,Ballyhaise,Attacks,1,Shot taken,,,,0,,1,0
78,00:22:10,Killinkere,Kickout,1,Break won,Philip Corrigan,0.6001524,0.5529588,1,,1,0
79,00:22:33,Killinkere,Shot from play,1,Goal,Tom Cooney,0.9088415,0.4360754,3,#70B12A,1,3
80,00:22:38,Killinkere,Attacks,1,Shot taken,Tom Cooney,,,0,,1,0
81,00:23:00,Ballyhaise,Kickout,1,Break lost,Ryan Smith,0.6847561,0.07328141,1,,0,0
82,00:23:28,Killinkere,Shot from play,1,Point,Ryan Smith,0.8407012,0.3981263,1,#ffffff,1,1
83,00:23:31,Killinkere,Attacks,1,Shot taken,Ryan Smith,,,0,,1,0
84,00:23:43,Ballyhaise,Kickout,1,Short lost,Neill McCabe,0.6692073,0.4307625,1,#ed1c24,0,0
85,00:23:56,Killinkere,Shot from play,1,Point,Tom Cooney,0.8416159,0.6060877,1,#ffffff,1,1
86,00:24:02,Killinkere,Attacks,1,Shot taken,Tom Cooney,,,0,,1,0
87,00:24:15,Ballyhaise,Kickout,1,Lost clean,Ben Philingham,0.6079268,0.1719492,1,#ed1c24,0,0
88,00:24:31,Killinkere,Shot from play,1,Point,Harry Banville,0.8256097,0.4694707,1,#ffffff,1,1
89,00:24:35,Killinkere,Attacks,1,Shot taken,Harry Banville,,,0,,1,0
90,00:25:02,Ballyhaise,Kickout,1,Lost clean,Keiran Smith,0.5224085,0.6903348,1,#ed1c24,0,0
91,00:25:14,Killinkere,Shot from play,1,Point,,0.81875,0.5210816,1,#ffffff,1,1
92,00:25:18,Killinkere,Attacks,1,Shot taken,,,,0,,1,0
93,00:25:36,Ballyhaise,Kickout,1,Short won,,0.6682927,0.3002174,1,,1,0
94,00:25:49,Killinkere,Turnover,1,Interception,Harry Banville,,,2,,1,0
95,00:26:08,Killinkere,Shot from play,1,Wide,Tom Cooney,0.8814024,0.7123454,0,#ed1c24,1,0
96,00:26:10,Killinkere,Attacks,1,Shot taken,Tom Cooney,,,0,,1,0
97,00:30:16,Killinkere,Substitution,2,Ciaran Cusack,Neill McCabe,,,0,,YES,0
98,00:30:19,Killinkere,Shot from play,2,Point,Philip Corrigan,0.1954268,0.3389256,1,#ffffff,1,1
99,00:30:25,Killinkere,Attacks,2,Shot taken,Philip Corrigan,,,0,,1,0
100,00:30:41,Killinkere,Substitution,2,Ciaran Flynn,Harry Banville,,,0,,YES,0
101,00:30:48,Ballyhaise,Kickout,2,Won clean,,0.5022866,0.5059019,1,,1,0
102,00:31:05,Ballyhaise,Shot from play,2,Short,,0.9280488,0.4467012,-1,#ed1c24,1,0
103,00:31:12,Ballyhaise,Attacks,2,Shot taken,,,,0,,1,0
104,00:31:34,Killinkere,Shot from play,2,Wide,Keiran Smith,0.2338415,0.3009764,0,#ed1c24,1,0
105,00:31:39,Killinkere,Attacks,2,Shot taken,,,,0,,1,0
106,00:32:25,Ballyhaise,Kickout,2,Break won,,0.4515244,0.5651026,1,,1,0
107,00:33:15,Ballyhaise,Shot from play,2,2 Points,,0.6952744,0.4861683,2,#f7941d,1,2
108,00:33:18,Ballyhaise,Attacks,2,Shot taken,,,,0,,1,0
109,00:33:37,Killinkere,Kickout,2,Short won,Mark Farrelly (S),0.7606707,0.8686959,1,,1,0
110,00:34:06,Killinkere,Shot from play,2,Point,Harry McQuade,0.114939,0.682745,1,#ffffff,1,1
111,00:34:13,Killinkere,Attacks,2,Shot taken,Harry McQuade,,,0,,1,0
112,00:34:24,Ballyhaise,Kickout,2,Lost clean,Harry McQuade,0.370122,0.8026643,1,#ed1c24,0,0
113,00:34:37,Killinkere,Shot from play,2,Wide,Ryan Smith,0.2041159,0.7464996,0,#ed1c24,1,0
114,00:34:40,Killinkere,Attacks,2,Shot taken,Ryan Smith,,,0,,1,0
115,00:34:54,Ballyhaise,Kickout,2,Lost clean,,0.5530488,0.4269676,1,#ed1c24,0,0
116,00:35:13,Killinkere,Shot from play,2,Wide,Ryan Smith,0.2393293,0.4884453,0,#ed1c24,1,0
117,00:35:17,Killinkere,Attacks,2,Shot taken,Ryan Smith,,,0,,1,0
118,00:35:40,Ballyhaise,Kickout,2,Won clean,,0.5809451,0.4148239,1,,1,0
119,00:35:50,Killinkere,Free conceded,2,Middle third,,,,0,,1,0
120,00:36:09,Ballyhaise,Shot from play,2,Wide,,0.827439,0.2683401,0,#ed1c24,1,0
121,00:36:12,Ballyhaise,Attacks,2,Shot taken,,,,0,,1,0
122,00:36:26,Killinkere,Kickout,2,Short won,David Ryan,0.7231708,0.7897616,1,,1,0
123,00:37:03,Killinkere,Shot from play,2,Save,Ben Philingham,0.1986281,0.6326521,0,#ed1c24,1,0
124,00:37:17,Killinkere,Shot from play,2,Point,Keiran Smith,0.1853659,0.6501087,1,#ffffff,1,1
125,00:37:27,Killinkere,Attacks,2,Shot taken,Keiran Smith,,,0,,1,0
126,00:37:50,Ballyhaise,Kickout,2,Break won,,0.4579268,0.4300036,1,,1,0
127,00:38:15,Ballyhaise,Attacks,2,Shot taken,,,,0,,1,0
128,00:38:41,Killinkere,Possession lost,2,Kick pass,Ciaran Cusack,,,-1,,1,0
129,00:38:53,Ballyhaise,Shot from play,2,Goal,,0.8141769,0.5833182,3,#70B12A,1,3
130,00:38:57,Ballyhaise,Attacks,2,Shot taken,,,,0,,1,0
131,00:39:14,Killinkere,Kickout,2,Short won,David Ryan,0.7272866,0.8982962,1,,1,0
132,00:40:00,Killinkere,Shot from play,2,Point,Ben Philingham,0.1080793,0.3563822,1,#ffffff,1,1
133,00:40:04,Killinkere,Attacks,2,Shot taken,Ben Philingham,,,0,,1,0
134,00:40:31,Ballyhaise,Kickout,2,Break won,,0.491311,0.502107,1,,1,0
135,00:40:48,Ballyhaise,Shot from play,2,Short,,0.8585366,0.3958493,-1,#ed1c24,1,0
136,00:40:52,Ballyhaise,Attacks,2,Shot taken,,,,0,,1,0
137,00:41:53,Killinkere,Shot from play,2,Point,Tom Cooney,0.1634146,0.4034391,1,#ffffff,1,1
138,00:41:56,Killinkere,Attacks,2,Shot taken,Tom Cooney,,,0,,1,0
139,00:42:13,Ballyhaise,Kickout,2,Won clean,,0.3998476,0.3586591,1,,1,0
140,00:42:43,Ballyhaise,Shot from play,2,Point,,0.7323171,0.2820018,1,#ffffff,1,1
141,00:42:47,Ballyhaise,Attacks,2,Shot taken,,,,0,,1,0
142,00:42:58,Killinkere,Kickout,2,Short won,Ben Philingham,0.7222561,0.8724908,1,,1,0
143,00:43:12,Killinkere,Possession lost,2,Handling,Ben Philingham,,,-1,,1,0
144,00:43:22,Killinkere,Turnover,2,In Contact,Sean Brady,,,3,,1,0
145,00:43:51,Killinkere,Shot from play,2,Short,Tom Cooney,0.2324695,0.5719334,-1,#ed1c24,1,0
146,00:43:55,Killinkere,Attacks,2,Shot taken,Tom Cooney,,,0,,1,0
147,00:44:22,Killinkere,Turnover,2,Interception,,,,2,,1,0
148,00:44:33,Killinkere,Free conceded,2,Middle third,,,,0,,1,0
